,name,price_value,bedrooms,type
1305,Bexley,950.0,1,apartment
1310,Bexley,1099.0,2,apartment
1311,Bexley,1200.0,2,apartment
1312,Bexley,1099.0,2,apartment
1313,Bexley,1250.0,2,apartment
1323,Bexley,1000.0,2,apartment
1326,Bexley,950.0,1,apartment
1357,Bexley,725.0,1,apartment
1362,Bexley,1000.0,2,apartment
1375,Bexley,1150.0,2,apartment
1376,Bexley,1150.0,2,apartment
1389,Bexley,1000.0,2,apartment
1411,Bexley,950.0,2,apartment
1424,Bexley,975.0,2,apartment
1425,Bexley,1050.0,2,apartment
1434,Bexley,1199.0,2,apartment
1435,Bexley,1199.0,2,apartment
1514,Bexley,1075.0,1,apartment
1523,Bexley,1100.0,1,apartment
1532,Bexley,1250.0,2,apartment
1533,Bexley,1200.0,2,apartment
1553,Bexley,995.0,1,apartment
1558,Bexley,900.0,1,apartment
1600,Bexley,1200.0,2,apartment
1601,Bexley,800.0,1,apartment
1604,Bexley,1350.0,2,apartment
1605,Bexley,1300.0,2,apartment
1606,Bexley,995.0,1,apartment
1607,Bexley,1250.0,2,apartment
1613,Bexley,1385.0,3,apartment
1614,Bexley,1250.0,2,apartment
1615,Bexley,1200.0,2,apartment
1616,Bexley,1250.0,2,apartment
1617,Bexley,1325.0,3,apartment
1618,Bexley,1350.0,3,apartment
1619,Bexley,1200.0,2,apartment
1620,Bexley,1300.0,3,apartment
1621,Bexley,1050.0,1,apartment
1622,Bexley,1200.0,2,apartment
1623,Bexley,1300.0,3,apartment
1624,Bexley,1200.0,2,apartment
1625,Bexley,1050.0,1,apartment
1626,Bexley,1200.0,2,apartment
1627,Bexley,1200.0,2,apartment
1628,Bexley,1200.0,2,apartment
1629,Bexley,1200.0,2,apartment
1630,Bexley,1050.0,1,apartment
1631,Bexley,1200.0,2,apartment
1632,Bexley,1200.0,2,apartment
1633,Bexley,1200.0,2,apartment
1634,Bexley,1050.0,1,apartment
1635,Bexley,1200.0,2,apartment
1636,Bexley,1250.0,2,apartment
1637,Bexley,1200.0,2,apartment
1638,Bexley,1200.0,2,apartment
