,Postcode district,Post town,Coverage,Local authority area
0,AB10,ABERDEEN,"Bridge of Dee, Mannofield, Ruthrieston",Aberdeen
1,AB11,ABERDEEN,"Ferryhill, Torry",Aberdeen
2,AB12,ABERDEEN,"Altens, Ardoe, Banchory Devenick, Blairs, Bridge of Dee, Cove Bay, Kincorth, Maryculter, Nigg, Portlethen, Tullos","Aberdeen, Aberdeenshire"
3,AB13,MILLTIMBER,Milltimber,Aberdeen
4,AB14,PETERCULTER,"Peterculter, Upper Anguston",Aberdeen
5,AB15,ABERDEEN,"Bieldside, Craigiebuckler, Cults, Hazlehead, Kingswells, Mannofield, Milltimber, Summerhill",Aberdeen
6,AB16,ABERDEEN,"Mastrick, Northfield, Middlefield, Cornhill, Sheddocksley",Aberdeen
7,AB21,ABERDEEN,"Blackburn, Bucksburn, Dyce, Fintray, Kinellar, Newmachar, Whiterashes",Aberdeen
8,AB22,ABERDEEN,"Bridge of Don, Danestone, Grandholm, Persley",Aberdeen
9,AB23,ABERDEEN,"Balmedie, Belhelvie, Bridge of Don, Potterton, Whitecairns",Aberdeen
10,AB24,ABERDEEN,"Old Aberdeen, Woodside, Tillydrone, Seaton, Bedford",Aberdeen
11,AB25,ABERDEEN,"Kittybrewster, Foresterhill, Rosemount, George Street",Aberdeen
12,AB30,LAURENCEKIRK,"Laurencekirk, Fettercairn, Marykirk, North Water Bridge, Luthermuir, Phesbo, Glensaugh, Auchenblae, Fordoun, Scotston, Arbuthnott",Aberdeenshire
13,AB31,BANCHORY,"Banchory, Lumphanan, Torphins, Crathes",Aberdeenshire
14,AB32,WESTHILL,"Westhill, Kirkton of Skene, Echt",Aberdeenshire
15,AB33,ALFORD,"Alford, Muir of Fowlis, Towie",Aberdeenshire
16,AB34,ABOYNE,"Aboyne, Kincardine O'Neil, Dinnet",Aberdeenshire
17,AB35,BALLATER,"Ballater, Crathie, Braemar, Spittal of Glenmuick",Aberdeenshire
18,AB36,STRATHDON,"Strathdon, Corgarff",Aberdeenshire
19,AB37,BALLINDALLOCH,"Ballindalloch, Glenlivet, Tomintoul",Moray
20,AB38,ABERLOUR,"Aberlour, Craigellachie, Rothes",Moray
21,AB39,STONEHAVEN,"Stonehaven, Newtonhill",Aberdeenshire
22,AB41,ELLON,"Ellon, Tarves, Pitmedden, Udny",Aberdeenshire
23,AB42,PETERHEAD,"Peterhead, Hatton, St. Fergus",Aberdeenshire
24,AB43,FRASERBURGH,"Fraserburgh, Crimond",Aberdeenshire
25,AB44,MACDUFF,Macduff,Aberdeenshire
26,AB45,BANFF,"Banff, Gardenstown, Gordonstown, Portsoy, Whitehills",Aberdeenshire
27,AB51,INVERURIE,"Inverurie, Kemnay, Kintore, Oldmeldrum",Aberdeenshire
28,AB52,INSCH,"Insch, Culsalmond, Largie, Auchleven, Oyne, Old Rayne, Colpy, Leslie, Wrangham, Duncanstone, Mill of Boddam",Aberdeenshire
29,AB53,TURRIFF,"Turriff, Fyvie, New Deer",Aberdeenshire
30,AB54,HUNTLY,"Huntly, Aberchirder, Cabrach, Cairnie, Forgue, Gartly, Glass, Kennethmont, Lumsden, Rhynie, Rothiemay","Aberdeenshire, Moray"
31,AB55,KEITH,"Keith, Dufftown",Moray
32,AB56,BUCKIE,"Buckie, Cullen, Portknockie, Findochty, Portessie, Portgordon",Moray
33,AB99,ABERDEEN,,non-geographic
