,Postcode district,Post town,Coverage,Local authority area
0,BB0,BLACKBURN,"Granby Marketing, Blackburn[3]",non-geographic
1,BB1,BLACKBURN,"Blackburn (east), Bank Hey, Belthorn (part), Blackamoor, Clayton-le-Dale, Guide, Knuzden, Mellor, Ramsgreave, Rishton, Salesbury, Shadsworth, Sunnybower, Tottleworth, Whitebirk, Wilpshire","Blackburn with Darwen, Hyndburn, Ribble Valley"
2,BB2,BLACKBURN,"Blackburn (west), Beardwood, Balderstone, Belthorn (part), Cherry Tree, Feniscowles, Griffin, Holly Tree, Livesey, Mellor, Mellor Brook, Mill Hill, Osbaldeston, Pleasington, Witton","Blackburn with Darwen, Chorley, South Ribble, Ribble Valley"
3,BB3,DARWEN,"Darwen, Bank Fold, Eccleshill, Hoddlesden, Livesey, Lower Darwen, Pickup Bank, Tockholes",Blackburn with Darwen
4,BB4,ROSSENDALE,"Acre, Balladen, Bent Gate, Cloughfold, Cowpe, Crawshawbooth, Haslingden, Helmshore, Lumb (near Rawtenstall), Newchurch, Rawtenstall, Waterfoot, Weir",Rossendale
5,BB5,ACCRINGTON,"Accrington, Altham, Baxenden, Church, Clayton-le-Moors, Huncoat, Oswaldtwistle, Rising Bridge","Hyndburn, Rossendale"
6,BB6,BLACKBURN,"Dinckley, Great Harwood, Langho","Hyndburn, Ribble Valley"
7,BB7,CLITHEROE,"Clitheroe, Barrow, Bashall Eaves, Billington, Bolton-by-Bowland, Chatburn, Downham, Dunsop Bridge, Gisburn, Great Mitton, Grindleton, Hurst Green, Little Mitton, Middop, Newsholme, Newton-in-Bowland, Paythorne, Pendleton, Rimington, Sabden, Sawley, Slaidburn, Twiston, Waddington, Whalley, Whitewell, Wiswell, Worston",Ribble Valley
8,BB8,COLNE,"Colne, Foulridge, Laneshaw Bridge, Trawden, Winewall, Wycoller",Pendle
9,BB9,NELSON,"Nelson, Barrowford, Blacko, Brierfield, Higherford, Roughlee",Pendle
10,BB10,BURNLEY,"Burnley (east), Cliviger, Haggate, Harle Syke, Reedley, Worsthorne","Burnley, Pendle"
11,BB11,BURNLEY,"Burnley (south and town centre), Dunnockshaw and Clowbridge, Hapton",Burnley
12,BB12,BURNLEY,"Burnley (west), Barley, Fence, Hapton, Higham, Padiham, Read, Simonstone, Wheatley Lane","Burnley, Pendle, Ribble Valley"
13,BB18,BARNOLDSWICK,"Barnoldswick, Bracewell and Brogden, Earby, Kelbrook, Salterforth, Sough",Pendle
14,BB94,BARNOLDSWICK,"Holiday Cottages Group, Earby[3]",non-geographic
