,Postcode district,Post town,Coverage,Local authority area
0,BH1,BOURNEMOUTH,"Bournemouth town centre (East Cliff), Springbourne, Boscombe town centre","Bournemouth, Christchurch and Poole"
1,BH2,BOURNEMOUTH,Bournemouth town centre (West Cliff),"Bournemouth, Christchurch and Poole"
2,BH3,BOURNEMOUTH,"Talbot Woods, Winton south","Bournemouth, Christchurch and Poole"
3,BH4,BOURNEMOUTH,"Westbourne, Branksome Woods","Bournemouth, Christchurch and Poole"
4,BH5,BOURNEMOUTH,"Boscombe, Pokesdown","Bournemouth, Christchurch and Poole"
5,BH6,BOURNEMOUTH,"Southbourne, Tuckton, Wick","Bournemouth, Christchurch and Poole"
6,BH7,BOURNEMOUTH,"Littledown, Iford","Bournemouth, Christchurch and Poole"
7,BH8,BOURNEMOUTH,"Bournemouth railway station, Malmesbury Park, Queens Park, Charminster, Strouden Park, Townsend, Holdenhurst, Throop","Bournemouth, Christchurch and Poole"
8,BH9,BOURNEMOUTH,"Winton, Moordown, Throop, Muscliff","Bournemouth, Christchurch and Poole"
9,BH10,BOURNEMOUTH,"Kinson, East Howe, Northbourne, Redhill, Ensbury Park, Wallisdown","Bournemouth, Christchurch and Poole"
10,BH11,BOURNEMOUTH,"Kinson, Bear Cross, West Howe, Wallisdown, Bearwood","Bournemouth, Christchurch and Poole"
11,BH12,POOLE,"Branksome, Alderney, Upper Parkstone, Newtown, Bournemouth University","Bournemouth, Christchurch and Poole"
12,BH13,POOLE,"Canford Cliffs, Sandbanks, Branksome Park, Brownsea Island","Bournemouth, Christchurch and Poole; Dorset"
13,BH14,POOLE,"Lower Parkstone, Lilliput, Penn Hill","Bournemouth, Christchurch and Poole"
14,BH15,POOLE,"Poole town centre, Hamworthy, Longfleet, Oakdale, Poole Harbour minor islands","Bournemouth, Christchurch and Poole; Dorset"
15,BH16,POOLE,"Upton, Turlin Moor, Lytchett Minster, Lytchett Matravers, Holton Heath","Dorset; Bournemouth, Christchurch and Poole"
16,BH17,POOLE,"Canford Heath, Creekmoor","Bournemouth, Christchurch and Poole"
17,BH18,BROADSTONE,Broadstone,"Bournemouth, Christchurch and Poole"
18,BH19,SWANAGE,"Swanage, Studland, Langton Matravers, Worth Matravers",Dorset
19,BH20,WAREHAM,"Wareham, Arne, Corfe Castle, West Lulworth, Wool, Bovington Camp, Bere Regis",Dorset
20,BH21,WIMBORNE,"Wimborne, Corfe Mullen, Sturminster Marshall, Cranborne, Merley, Oakley, Three Legged Cross, Knowlton","Dorset; Bournemouth, Christchurch and Poole"
21,BH22,FERNDOWN,"Ferndown, West Moors, West Parley",Dorset
22,BH23,CHRISTCHURCH,"Christchurch, Highcliffe, Burton, Sopley, Bransgore, Hurn, Bournemouth Airport","Bournemouth, Christchurch and Poole; New Forest"
23,BH24,RINGWOOD,"Ringwood, St Leonards, Ashley Heath, Burley, Holmsley",New Forest; Dorset
24,BH25,NEW MILTON,"New Milton, Barton on Sea, Bashley, Wootton, Ossemsley",New Forest
25,BH31,VERWOOD,Verwood,Dorset
