,Postcode district,Post town,Coverage,Local authority area
0,BS0,BRISTOL,,non-geographic[3][4]
1,BS1,BRISTOL,"Bristol city centre, Redcliffe",Bristol
2,BS2,BRISTOL,"Kingsdown, St Paul's, St Phillip's, St Agnes",Bristol
3,BS3,BRISTOL,"Bedminster, Southville, Bower Ashton, part of Totterdown, Windmill Hill",Bristol
4,BS4,BRISTOL,"Brislington, Knowle, Knowle West, St Anne's, part of Totterdown",Bristol
5,BS5,BRISTOL,"Easton, St George, Redfield, Whitehall, Eastville, Speedwell, Greenbank, Barton Hill",Bristol
6,BS6,BRISTOL,"Cotham, Redland, Montpelier, Westbury Park, St. Andrew's",Bristol
7,BS7,BRISTOL,"Bishopston, Horfield, part of Filton, Lockleaze, Ashley Down,","Bristol, South Gloucestershire"
8,BS8,BRISTOL,"Clifton, Failand, Hotwells, Leigh Woods","Bristol, North Somerset"
9,BS9,BRISTOL,"Coombe Dingle, Sneyd Park, Stoke Bishop, Westbury on Trym, Henleaze",Bristol
10,BS10,BRISTOL,"Brentry, Henbury, Southmead, part of Westbury on Trym,",Bristol
11,BS11,BRISTOL,"Avonmouth, Shirehampton, Lawrence Weston",Bristol
12,BS13,BRISTOL,"Bedminster Down, Bishopsworth, Hartcliffe, Withywood, Headley Park",Bristol
13,BS14,BRISTOL,"Hengrove, Stockwood, Whitchurch, Withywood","Bristol, Bath and North East Somerset"
14,BS15,BRISTOL,"Hanham, Kingswood","Bristol, South Gloucestershire"
15,BS16,BRISTOL,"Downend, Emersons Green, Fishponds, Frenchay, Pucklechurch, Staple Hill","Bristol, South Gloucestershire"
16,BS20,BRISTOL,Portishead,North Somerset
17,BS21,CLEVEDON,Clevedon,North Somerset
18,BS22,WESTON-SUPER-MARE,"Kewstoke, Weston-super-Mare, Worle",North Somerset
19,BS23,WESTON-SUPER-MARE,"Uphill, Weston-super-Mare",North Somerset
20,BS24,WESTON-SUPER-MARE,"Bleadon, Hutton, Locking, Lympsham, Puxton, Weston-super-Mare, Wick St. Lawrence","North Somerset, Sedgemoor"
21,BS25,WINSCOMBE,"Churchill, Winscombe, Sandford, Shipham","North Somerset, Sedgemoor"
22,BS26,AXBRIDGE,"Axbridge, Compton Bishop, Loxton","Sedgemoor, North Somerset"
23,BS27,CHEDDAR,"Cheddar, Draycott","Sedgemoor, Mendip"
24,BS28,WEDMORE,Wedmore,Sedgemoor
25,BS29,BANWELL,Banwell,North Somerset
26,BS30,BRISTOL,"Bitton, Longwell Green, Cadbury Heath, Oldland Common, Warmley, Wick",South Gloucestershire
27,BS31,BRISTOL,"Chewton Keynsham, Keynsham, Saltford",Bath and North East Somerset
28,BS32,BRISTOL,"Almondsbury, Bradley Stoke",South Gloucestershire
29,BS34,BRISTOL,"Part of Filton, Little Stoke, Patchway, Stoke Gifford",South Gloucestershire
30,BS35,BRISTOL,"Alveston, Rudgeway, Severn Beach, Pilning, Thornbury",South Gloucestershire
31,BS36,BRISTOL,"Frampton Cotterell, Winterbourne",South Gloucestershire
32,BS37,BRISTOL,"Chipping Sodbury, Yate",South Gloucestershire
33,BS39,BRISTOL,"Clutton, Temple Cloud",Bath and North East Somerset
34,BS40,BRISTOL,"Chew Valley, Chew Magna, Chew Stoke, Wrington, Charterhouse","Bath and North East Somerset, North Somerset, Mendip"
35,BS41,BRISTOL,"Long Ashton, Dundry",North Somerset
36,BS48,BRISTOL,"Backwell, Nailsea",North Somerset
37,BS49,BRISTOL,"Congresbury, Yatton",North Somerset
38,BS98,BRISTOL,,non-geographic
39,BS99,BRISTOL,,non-geographic
