,Postcode district,Post town,Coverage,Local authority area
0,CA1,CARLISLE,Carlisle (east),City of Carlisle
1,CA2,CARLISLE,Carlisle (south and west),City of Carlisle
2,CA3,CARLISLE,Carlisle (north),City of Carlisle
3,CA4,CARLISLE,"Warwick Bridge, Wetheral, Cumwhinton, Armathwaite","City of Carlisle, Eden"
4,CA5,CARLISLE,"Dalston, Burgh by Sands, Thursby","City of Carlisle, Allerdale"
5,CA6,CARLISLE,"Longtown, Penton",City of Carlisle
6,CA7,WIGTON,"Wigton, Silloth, Aspatria, Caldbeck, Hesket Newmarket","Allerdale, Eden"
7,CA8,BRAMPTON,"Brampton, Gilsland, Greenhead, Lambley, Slaggyford","City of Carlisle, Northumberland"
8,CA9,ALSTON,"Alston, Garrigill, Nenthead, Kirkhaugh","Eden, Northumberland"
9,CA10,PENRITH,"Penrith (Carleton Hall area), Shap, Tebay, Kirkby Thore, Langwathby, Lazonby, Pooley Bridge","Eden, South Lakeland"
10,CA11,PENRITH,"Penrith (most of), Stainton, Mungrisdale, Glenridding, Patterdale",Eden
11,CA12,KESWICK,"Keswick, Seatoller, Braithwaite, Bassenthwaite, Threlkeld","Allerdale, Eden"
12,CA13,COCKERMOUTH,"Cockermouth, Lorton, Buttermere",Allerdale
13,CA14,WORKINGTON,"Workington, Distington, Stainburn, Seaton","Allerdale, Copeland"
14,CA15,MARYPORT,"Maryport, Dearham, Flimby, Allonby",Allerdale
15,CA16,APPLEBY-IN-WESTMORLAND,Appleby-in-Westmorland,Eden
16,CA17,KIRKBY STEPHEN,"Kirkby Stephen, Brough, Ravenstonedale","Eden, South Lakeland"
17,CA18,RAVENGLASS,Ravenglass,Copeland
18,CA19,HOLMROOK,"Holmrook, Santon Bridge, Eskdale",Copeland
19,CA20,SEASCALE,"Seascale, Sellafield, Gosforth, Wasdale Head",Copeland
20,CA21,BECKERMET,Beckermet,Copeland
21,CA22,EGREMONT,"Egremont, Thornhill",Copeland
22,CA23,CLEATOR,"Cleator, Ennerdale Bridge",Copeland
23,CA24,MOOR ROW,Moor Row,Copeland
24,CA25,CLEATOR MOOR,Cleator Moor,Copeland
25,CA26,FRIZINGTON,"Frizington, Croasdale",Copeland
26,CA27,ST. BEES,St Bees,Copeland
27,CA28,WHITEHAVEN,"Whitehaven, Sandwith, Hensingham",Copeland
28,CA95,WORKINGTON,,non-geographic
29,CA99,CARLISLE,Jobcentre Plus,non-geographic
