,Postcode district,Post town,Coverage,Local authority area
0,CF3,CARDIFF,"CARDIFF SOUTH (East):Rumney & Trowbridge, Llanrumney, St MellonsNEWPORT WEST:Castleton, Marshfield","Cardiff, Newport"
1,CF5,CARDIFF,"CARDIFF WEST (South):Ely, Caerau, St Fagans, Culverhouse Cross, Canton & Leckwith, Fairwater, Danescourt, Llandaff, RiversideVALE OF GLAMORGAN:Wenvoe, Peterston Super Ely, St Georges super Ely, Michaelston-le-Pit, Michaelston-super-Ely","Cardiff, Vale of Glamorgan"
2,CF10,CARDIFF,"CARDIFF CENTRAL / CARDIFF SOUTH:CARDIFF CITY CENTRE (part of), Grangetown, CARDIFF BAY (part of) & Butetown",Cardiff
3,CF11,CARDIFF,"CARDIFF CENTRAL / CARDIFF SOUTH:CARDIFF CITY CENTRE (part of), Canton, CARDIFF BAY (part of), Grangetown",Cardiff
4,CF14,CARDIFF,"CARDIFF NORTH (West):Birchgrove, Whitchurch, Thornhill & Lisvane, Rhiwbina & Pantmawr, Gabalfa, Heath, Llandaff North, Llanishen",Cardiff
5,CF15,CARDIFF,"CARDIFF WEST (North):Pentyrch & Gwaelod-y-Garth & Creigiau, Radyr & Morganstown, TongwynlaisRHONDDA CYNON TAFF:Taffs Well & NantgarwCAERPHILLY:Groeswen","Cardiff, Rhondda Cynon Taf, Caerphilly"
6,CF23,CARDIFF,"CARDIFF NORTH (East):Llanishen, Cyncoed, Pentwyn, Penylan, Pontprennau & Old St Mellons",Cardiff
7,CF24,CARDIFF,"CARDIFF CENTRAL:CARDIFF CITY CENTRE (part of) & Cathays, Roath & Plasnewydd, Splott, Adamsdown",Cardiff
8,CF30,CARDIFF,,non-geographic
9,CF31,BRIDGEND,"Bridgend, Brackla, Coity, Pen-y-fai",Bridgend
10,CF32,BRIDGEND,"BRIDGEND:Cefn Cribwr, Laleston, Merthyr Mawr, Ogmore Vale, Tondu, Sarn, Ynysawdre, St Bride's Minor, Pontycymer, Llangeinor, Garw Valley, Blaengarw, Blackmill, Bettws, AberkenfigVALE OF GLAMORGAN:St Brides Major","Bridgend, Vale of Glamorgan"
11,CF33,BRIDGEND,"Cornelly, Pyle",Bridgend
12,CF34,MAESTEG,"Maesteg, Llangynwyd, Caerau, Nantyffyllon",Bridgend
13,CF35,BRIDGEND,"BRIDGEND:PENCOED TOWN, Coychurch, LlanganVALE OF GLAMORGAN:Ewenny","Bridgend, Vale of Glamorgan"
14,CF36,PORTHCAWL,"Porthcawl, Nottage, Newton",Bridgend
15,CF37,PONTYPRIDD,"Pontypridd Community:PONTYPRIDD TOWN including Cilfynydd, Glyncoch, Graig, Treforest, Hopkinstown, Trallwng, Maesycoed, Pwllgwaun, Hawthorn, Rhydfelen, TREHAFODYnysybwl Community:YNYSYBWL & Coed-y-Cwm",Rhondda Cynon Taf
16,CF38,PONTYPRIDD,"Llantwit Fardre Community:LLANTWIT FARDRE, CHURCH VILLAGE, Tonteg, Efail IsafLlantrisant Community (part of):BEDDAU & Ty Nant",Rhondda Cynon Taf
17,CF39,PORTH,"Rhondda Area (RCT):PORTH TOWN & Llwyncelyn, CYMMER & Glynfach & Trebanog, YNYSHIR & Wattstown, Dinas (part of)Taff-Ely Area (RCT):TONYREFAIL TOWN & Coed-Ely & Thomastown, GILFACH GOCHBRIDGEND: Evanstown","Rhondda Cynon Taf, Bridgend"
18,CF40,TONYPANDY,"Rhondda Area:TONYPANDY TOWN, TREALAW, PENYGRAIG, Dinas (part of), Williamstown, Cwm Clydach, LLWYNYPIATaff-Ely Area:Penrhiwfer",Rhondda Cynon Taf
19,CF41,PENTRE,"Pentre, Ton Pentre, Ystrad, Gelli",Rhondda Cynon Taf
20,CF42,TREORCHY,"Treorchy, Cwmparc, Ynyswen, Treherbert, Blaencwm, Blaenrhondda",Rhondda Cynon Taf
21,CF43,FERNDALE,"Ferndale, Blaenllechau, Tylorstown, Penrhys, Pontygwaith, Stanleytown, Maerdy",Rhondda Cynon Taf
22,CF44,ABERDARE,"Aberdare, Cwmaman, Aberaman, Llwydcoed, Cwmbach, Hirwaun, Penywaun, Rhigos, Penderyn",Rhondda Cynon Taf
23,CF45,MOUNTAIN ASH,"Mountain Ash, Abercynon, Penrhiwceiber, Ynysboeth",Rhondda Cynon Taf
24,CF46,TREHARRIS,"Treharris, Quakers Yard, Bedlinog, Nelson","Merthyr Tydfil, Caerphilly"
25,CF47,MERTHYR TYDFIL,"Merthyr Tydfil, Gurnos, Penydarren",Merthyr Tydfil
26,CF48,MERTHYR TYDFIL,"Cyfarthfa, Pant, Merthyr Vale, Troed-y-rhiw, Vaynor, Pentrebach",Merthyr Tydfil
27,CF61,LLANTWIT MAJOR,"Llantwit Major, Llan-maes",Vale of Glamorgan
28,CF62,BARRY,"Barry (west), Rhoose, St Athan, Llancarfan, Barry Island",Vale of Glamorgan
29,CF63,BARRY,"Barry (east), Cadoxton, Barry Docks",Vale of Glamorgan
30,CF64,PENARTH; DINAS POWYS,"Penarth, Dinas Powys, Sully, Llandough",Vale of Glamorgan
