,Postcode district,Post town,Coverage,Local authority area
0,CO1,COLCHESTER,Colchester,Colchester
1,CO2,COLCHESTER,"Old Heath, Berechurch, Layer de la Haye",Colchester
2,CO3,COLCHESTER,"Lexden, Stanway",Colchester
3,CO4,COLCHESTER,"Greenstead, Highwoods, St Johns, Myland, Boxted",Colchester
4,CO5,COLCHESTER,"Tiptree, Kelvedon, West Mersea, Peldon, Rowhedge","Colchester, Braintree, Maldon"
5,CO6,COLCHESTER,"Coggeshall, Earls Colne, Marks Tey, Great Tey, Chappel, Wakes Colne, Copford, West Bergholt, Great Horkesley, Wormingford, Nayland, Stoke-by-Nayland, Polstead","Colchester, Braintree, Babergh"
6,CO7,COLCHESTER,"Brightlingsea, Wivenhoe, Great Bentley, Alresford","Colchester, Tendring"
7,CO8,BURES,"Bures, Alphamstone","Colchester, Braintree, Babergh"
8,CO9,HALSTEAD,Halstead,Braintree
9,CO10,SUDBURY,Sudbury,Babergh
10,CO11,MANNINGTREE,"Manningtree, Lawford, Mistley, Bradfield, Wrabness, Wix, Horsley Cross, Little Bromley, Brantham, Cattawade","Tendring, Babergh"
11,CO12,HARWICH,"Harwich, Dovercourt, Parkeston, Ramsey, Little Oakley, Great Oakley, Stones Green",Tendring
12,CO13,FRINTON-ON-SEA,Frinton-on-Sea,Tendring
13,CO14,WALTON ON THE NAZE,Walton-on-the-Naze[3],Tendring
14,CO15,CLACTON-ON-SEA,Clacton-on-Sea,Tendring
15,CO16,CLACTON-ON-SEA,"Clacton-on-Sea, St Osyth, Little Clacton",Tendring
