,Postcode district,Post town,Coverage,Local authority area
0,CV1,COVENTRY,"Coventry C (Coventry City Centre, Gosford Green, Hillfields, Spon End, Coventry University)",Coventry
1,CV2,COVENTRY,"Coventry NE (Walsgrave, Wyken, Stoke, Bell Green, Wood End, Potters Green, Aldermans Green, Clifford Park, Woodway Park)",Coventry
2,CV3,COVENTRY,"Coventry SE (Binley, Whitley, Willenhall, Cheylesmore, Styvechale, Finham, Fenside, Stoke Aldermoor, Green Lane, Ernesford Grange, Binley Woods)","Coventry, Rugby"
3,CV4,COVENTRY,"Coventry SW (Tile Hill, Canley, Cannon Park, Lime Tree Park, Gibbet Hill, Westwood Heath, University of Warwick)",Coventry
4,CV5,COVENTRY,"Coventry NW (Allesley, Allesley Park, Allesley Green, Earlsdon, Eastern Green, Whoberley, Chapelfields, Mount Nod, Brownshill Green)",Coventry
5,CV6,COVENTRY,"Coventry N (Holbrooks, Coundon, Radford, Longford, Rowley's Green, Courthouse Green, Whitmore Park), Hawkesbury","Coventry, Nuneaton and Bedworth"
6,CV7,COVENTRY,"Exhall, Ash Green, Keresley, Meriden, Balsall Common, Berkswell, Corley, Arley, Ansty, Shilton, Fillongley","Nuneaton and Bedworth, North Warwickshire, Coventry, Rugby, Solihull"
7,CV8,COVENTRY,"Wolston, Ryton-on-Dunsmore","Warwick, Rugby"
8,CV8,KENILWORTH,"Kenilworth, Baginton, Bubbenhall, Burton Green, Brandon, Stoneleigh, Ashow","Warwick, Rugby"
9,CV9,ATHERSTONE,"Atherstone, Mancetter, Grendon, Baddesley Ensor, Baxterley, Hurley, Witherley, Wood End, Twycross, Orton On The Hill, Ridge Lane Village","North Warwickshire, Hinckley and Bosworth"
10,CV10,NUNEATON,"Nuneaton N & W (Weddington, Stockingford, Camp Hill, Galley Common, Grove Farm, Whittleford, Chapel End, Bermuda Village), Caldecote, Fenny Drayton, Hartshill, Ansley, Astley, Oldbury, Ridge Lane","Nuneaton and Bedworth, North Warwickshire"
11,CV11,NUNEATON,"Nuneaton C & E (town centre, Abbey Green, St Nicolas Park, Horeston Grange, Attleborough, Whitestone, Hill Top, Chilvers Coton, Caldwell), Burton Hastings, Bramcote","Nuneaton and Bedworth, Rugby, Hinckley and Bosworth"
12,CV12,BEDWORTH,"Bedworth (except Exhall and Ash Green), Bulkington",Nuneaton and Bedworth
13,CV13,NUNEATON,"Barlestone, Barton in the Beans, Bilstone, Cadeby, Carlton, Congerstone, Dadlington, Fenny Drayton, Higham on the Hill, Market Bosworth, Nailstone, Odstone, Osbaston, Shackerstone, Shenton, Stoke Golding, Sutton Cheney, Upton, Wellsborough",Hinckley and Bosworth
14,CV21,RUGBY,"Rugby (north), Brownsover",Rugby
15,CV22,RUGBY,"Rugby (south), Bilton, Cawston, Dunchurch",Rugby
16,CV23,RUGBY,"Thurlaston, Princethorpe, Stretton-on-Dunsmore, Birdingbury, Brinklow, Long Lawford, Clifton upon Dunsmore, Stretton-under-Fosse, Monks Kirby, Kilsby","Rugby, Daventry"
17,CV31,LEAMINGTON SPA,"Leamington Spa (south), Sydenham, Whitnash, Radford Semele",Warwick
18,CV32,LEAMINGTON SPA,"Leamington Spa (north), Cubbington, Lillington",Warwick
19,CV33,LEAMINGTON SPA,Harbury and surrounding villages,"Warwick, Stratford-on-Avon"
20,CV34,WARWICK,Warwick,Warwick
21,CV35,WARWICK,"Wellesbourne, Gaydon, Kineton and surrounding villages","Warwick, Stratford-on-Avon"
22,CV36,SHIPSTON-ON-STOUR,Shipston-on-Stour and surrounding villages,Stratford-on-Avon
23,CV37,STRATFORD-UPON-AVON,Stratford-upon-Avon and surrounding villages,Stratford-on-Avon
24,CV47,SOUTHAM,Southam and surrounding villages,Stratford-on-Avon
