,Postcode district,Post town,Coverage,Local authority area
0,DT1,DORCHESTER,"Dorchester, Poundbury",Dorset
1,DT2,DORCHESTER,"Puddletown, Crossways, Winfrith Newburgh, Winterborne St Martin, Puncknowle, West Bexington, Maiden Newton, Evershot, Charminster, Cerne Abbas, Buckland Newton, Pulham",Dorset
2,DT3,WEYMOUTH,"Chickerell, Broadwey, Radipole, Osmington, Preston, Littlemoor, Portesham, Abbotsbury, Langton Herring",Dorset
3,DT4,WEYMOUTH,"Weymouth town centre, Melcombe Regis, Westham, Wyke Regis",Dorset
4,DT5,PORTLAND,"Fortuneswell, Easton, Southwell, Weston, The Grove",Dorset
5,DT6,BRIDPORT,"Bridport, Melplash, Whitchurch Canonicorum, Charmouth, Burton Bradstock, Powerstock",Dorset
6,DT7,LYME REGIS,"Lyme Regis, Uplyme, Rousdon","Dorset, East Devon"
7,DT8,BEAMINSTER,"Beaminster, Broadwindsor",Dorset
8,DT9,SHERBORNE,"Sherborne, Milborne Port, Holwell, Longburton, Yetminster, Bradford Abbas, Charlton Horethorne","Dorset, South Somerset"
9,DT10,STURMINSTER NEWTON,"Sturminster Newton, Stalbridge, Hazelbury Bryan, Marnhull, Stourton Caundle, Hinton St Mary",Dorset
10,DT11,BLANDFORD FORUM,"Blandford Forum, Blandford Camp, Iwerne Minster, Shillingstone, Milton Abbas, Winterborne Zelston, Spetisbury",Dorset
