,Postcode district,Post town,Coverage,Local authority area
0,E1,LONDON,"Eastern head district: Aldgate (part), Bishopsgate (part), Whitechapel, Shoreditch (part), Spitalfields, Shadwell, Limehouse, Stepney, Mile End (part), Portsoken","City of London, Hackney, Tower Hamlets"
1,E1W,LONDON,"Wapping, St Katharine Docks, Stepney (part), Shadwell (part), Whitechapel (part)",Tower Hamlets
2,E2,LONDON,"Bethnal Green district: Bethnal Green, Haggerston, Hoxton (part), Shoreditch (part), Cambridge Heath, Globe Town, Shoreditch (part)","Hackney, Tower Hamlets"
3,E3,LONDON,"Bow district: Bow, Bow Common, Bromley-by-Bow, Old Ford, Mile End (part), Fish Island, Hackney Wick (part), South Bromley, Mill Meads (part)","Newham, Tower Hamlets"
4,E4,LONDON,"Chingford district: Chingford, Sewardstone, Highams Park, Upper Edmonton (part), Woodford Green (part)","Epping Forest (Essex), Enfield, Waltham Forest"
5,E5,LONDON,"Clapton district: Leyton (Part), Upper Clapton, Lower Clapton, Stoke Newington (part)","Hackney, Waltham Forest"
6,E6,LONDON,"East Ham district: East Ham, Beckton, Upton Park (part), Barking (part)","Barking and Dagenham, Newham"
7,E7,LONDON,"Forest Gate district: Forest Gate, Leytonstone (Part), Stratford (part)","Newham, Waltham Forest"
8,E8,LONDON,"Hackney district: Hackney Central, Dalston, London Fields, Stoke Newington (part)",Hackney
9,E9,LONDON,"Homerton district: Homerton, Hackney Wick, South Hackney, Hackney Marshes, Victoria Park","Hackney, Tower Hamlets"
10,E10,LONDON,"Leyton district: Leyton, Temple Mills, Hackney Marshes (part) Upper Clapton (part), Walthamstow Marshes","Hackney, Waltham Forest"
11,E11,LONDON,"Leytonstone district: Leytonstone, Wanstead, Aldersbrook (part), Snaresbrook, Cann Hall","Redbridge, Waltham Forest"
12,E12,LONDON,"Manor Park district: Manor Park, Little Ilford, Aldersbrook (part)","Newham, Redbridge"
13,E13,LONDON,"Plaistow district: Plaistow, West Ham (part), Upton Park (part)",Newham
14,E14,LONDON,"Poplar district: Poplar, Isle of Dogs, Limehouse, Canary Wharf, Millwall, Blackwall, Cubitt Town, South Bromley, North Greenwich, Leamouth",Tower Hamlets
15,E15,LONDON,"Stratford district: Stratford, West Ham (part), Maryland, Leyton (part), Leytonstone (part) Temple Mills (part), Hackney Wick (part), Bow (part)","Hackney, Newham, Tower Hamlets, Waltham Forest"
16,E16,LONDON,"Victoria Docks and North Woolwich district: Canning Town, Silvertown, Royal Docks, North Woolwich, Beckton (part)",Newham
17,E17,LONDON,"Walthamstow district: Walthamstow, Upper Walthamstow, Leyton (part)",Waltham Forest
18,E18,LONDON,"Woodford and South Woodford district: Woodford, South Woodford",Redbridge
19,E20,LONDON,"Olympic Park district: Olympic Park, & parts of Stratford, Homerton, Leyton, Bow;","Hackney, Newham, Tower Hamlets, Waltham Forest"
20,E77,LONDON,"Non-geographic postcode district (NatWest, delivers to E1)",Tower Hamlets
21,E98,LONDON,"Non-geographic postcode district (News International, delivers to E1W)",Tower Hamlets
