,Postcode district,Post town,Coverage,Local authority area
0,EN1,ENFIELD,"Bush Hill Park; eastern parts of Bulls Cross, Enfield Town, Forty Hill, outskirts of Lower Edmonton",Enfield
1,EN2,ENFIELD,"Botany Bay, Clay Hill, Crews Hill; western parts of Bulls Cross, Enfield Chase, Enfield Town, Forty Hill, Gordon Hill",Enfield
2,EN3,ENFIELD,"Enfield Highway, Enfield Island Village, Enfield Lock, Enfield Wash, Ponders End",Enfield
3,EN4,BARNET,"Hadley Wood, Cockfosters, East Barnet, New Barnet","Barnet, Enfield"
4,EN5,BARNET,"High Barnet, Arkley","Barnet, Hertsmere"
5,EN6,POTTERS BAR,"Potters Bar, South Mimms, Cuffley, Northaw","Hertsmere, Welwyn Hatfield"
6,EN7,WALTHAM CROSS,"Cheshunt, Goffs Oak, Capel Manor College","Broxbourne, Enfield"
7,EN8,WALTHAM CROSS,"Waltham Cross, Cheshunt, Bullsmoor","Broxbourne, Enfield"
8,EN9,WALTHAM ABBEY,"Waltham Abbey, Nazeing, Upshire",Epping Forest
9,EN10,BROXBOURNE,"Broxbourne, Wormley, Turnford","Broxbourne, Epping Forest"
10,EN11,HODDESDON,"Hoddesdon, Dobbs Weir","Broxbourne, Epping Forest"
