,Postcode district,Post town,Coverage,Local authority area
0,FK1,FALKIRK,"Falkirk (centre and south), Avonbridge, California, Camelon, Limerigg, Shieldhill, Slamannan, Standburn",Falkirk
1,FK2,FALKIRK,"Falkirk (north), Airth, Bainsford, Brightons, Carron, Carronshore, Dunmore, Laurieston, Maddiston, Polmont, Redding, Skinflats, Westquarter","Falkirk, Stirling"
2,FK3,GRANGEMOUTH,"Grangemouth, Glensburgh",Falkirk
3,FK4,BONNYBRIDGE,"Bonnybridge, Allandale, Banknock, Dennyloanhead, Greenhill, Haggs, High Bonnybridge, Longcroft",Falkirk
4,FK5,LARBERT,"Larbert, Stenhousemuir, Torwood",Falkirk
5,FK6,DENNY,"Denny, Dunipace, Fankerton, Head of Muir, Stoneywood",Falkirk
6,FK7,STIRLING,"Stirling (south and east), Bannockburn, Cambusbarron, Cowie, Fallin, Plean, South Alloa, St. Ninians","Stirling, Falkirk"
7,FK8,STIRLING,"Stirling (centre and west), Aberfoyle, Arnprior, Buchlyvie, Gargunnock, Gartmore, Inversnaid, Kippen, Port of Menteith, Ruskie, Thornhill",Stirling
8,FK9,STIRLING,"Stirling (north), Bridge of Allan, Blair Drummond, Blairlogie, Cambuskenneth, Lecropt",Stirling
9,FK10,ALLOA,"Alloa, Cambus, Kincardine, Sauchie, Tullibody","Clackmannanshire, Fife"
10,FK10,CLACKMANNAN,"Clackmannan, Kennet",Clackmannanshire
11,FK11,MENSTRIE,Menstrie,Clackmannanshire
12,FK12,ALVA,Alva,Clackmannanshire
13,FK13,TILLICOULTRY,"Tillicoultry, Coalsnaughton, Devonside",Clackmannanshire
14,FK14,DOLLAR,"Dollar, Blairingone, Burnfoot, Glendevon, Pool of Muckhart, Solsgirth","Clackmannanshire, Perth and Kinross"
15,FK15,DUNBLANE,"Dunblane, Braco, Greenloaning, Kinbuck","Stirling, Perth and Kinross"
16,FK16,DOUNE,"Doune, Argaty, Buchany, Deanston",Stirling
17,FK17,CALLANDER,"Callander, Brig o' Turk, Kilmahog",Stirling
18,FK18,CALLANDER,"Ardchullarie More, Strathyre",Stirling
19,FK19,LOCHEARNHEAD,"Lochearnhead, Ardvorlich, Balquhidder, Edinample, Kingshouse",Stirling
20,FK20,CRIANLARICH,"Crianlarich, Ardchyle, Auchlyne, Luib, Tyndrum","Stirling, Argyll and Bute"
21,FK21,KILLIN,"Killin, Ardeonaig, Auchmore, Clachaig, Glenlochay, Kinnell",Stirling
