,Postcode district,Post town,Coverage,Local authority area
0,GL1,GLOUCESTER,"The Docks, Central Gloucester",Gloucester
1,GL2,GLOUCESTER,"Arlingham, Cambridge, Churcham, Churchdown, Down Hatherley, Elmore, Framilode, Frampton on Severn, Hardwicke, Hempsted, Highnam, Kingsway, Longford, Longlevens, Longney, Maisemore, Minsterworth, Moreton Valence, Norton, Over, Podsmead, Priors Norton, Quedgeley, Rudford, Sandhurst, Saul, Slimbridge, Tibberton, Twigworth, Walham, Waterwells Business Park, Whitminster","Forest of Dean, Gloucester, Stroud, Tewkesbury"
2,GL3,GLOUCESTER,"Barnwood, Brockworth, Churchdown, Coopers Hill, Gloucester Business Park, Great Witcombe, Hucclecote, Innsworth, Little Witcombe, Witcombe","Gloucester, Stroud, Tewkesbury"
3,GL4,GLOUCESTER,"Abbeydale, Abbeymead, Barnwood, Birdlip, Brimpsfield, Brookthorpe, Cranham, Harescombe, Matson, Tuffley, Upton St Leonards, Whaddon","Cotswold, Gloucester, Stroud"
4,GL5,STROUD,"Amberley, Bourne, Bowbridge, Brimscombe, Burleigh, Butterrow Hill, Cainscross, Cashes Green, Dudbridge, Dunkirk Mills, Ebley, Gaineys Well, Inchbrook, Kingscourt, Lightpill, Little London, Middle Leazes, North Woodchester, Paganhill, Randwick, Rodborough, Rodborough Common, Rodborough, Selsley, Selsley East, Selsley Hill, Selsley West, South Woodchester, Thrupp, Uplands, Wallbridge, Walls Quarry, Woodchester",Stroud
5,GL6,STROUD,"Aston Down, Bell Pitch, Bird in Hand, Bisley, Bournes Green, Box, Brownshill, Bussage, Chalford, Chalford Hill, Eastcombe, Edge, Edgeworth, Elcombe, Far Oakridge, Far Westrip, Forest Green, Frampton Mansell, France Lynch, Horsley, Lower Kitesnest, Lypiatt, Middle Lypiatt, Middle Spring, Minchinhampton, Miserden, Nailsworth, Oakridge, Oakridge Lynch, Old Neighbouring, Painswick, Painswick Beacon, Pitchcombe, Randwick, Ruscombe, Sheepscombe, Slad, Stancombe, The Camp, Upper Kitesnest, Westrip, Whiteshill, Whiteway","Cotswold, Stroud"
6,GL7,CIRENCESTER,"Ampney Crucis, Ampney Knowle, Ampney St Mary, Ampney St Peter, Bagendon, Barnsley, Baunton, Bibury, Calmsden, Cerney Wick, Coates, Coln St. Aldwyns, Daglingworth, Bisley-with-Lypiatt, Down Ampney, Driffield, Duntisbourne Abbotts, Duntisbourne Leer, Duntisbourne Rouse, Eastleach, Ewen, Harnhill, Hatherop, Honeycombe Leaze, Kemble, Kemble Wick, Love Lane Industrial Estate, Lower Norcote, Marsden, Meysey Hampton, Middle Duntisbourne, Norcote, North Cerney, North Cerney Downs, Perrotts Brook, Poole Keynes, Poulton, Preston, Quenington, Rapsgate, Ready Token, Rendcomb, Rodmarton, Sapperton, Shorncote, Siddington, Somerford Keynes, South Cerney, Stratton, Tarlton, Tunley, Upper Up, Whiteway, Winson, Winstone, Woodmancote","Cotswold, Stroud, Wiltshire"
7,GL7,FAIRFORD,"Dudgrove, Dunfield, Kempsford, Totterdown, Whelford",Cotswold
8,GL7,LECHLADE,"Broadwell, Claydon, Claydon Pike, Downington, Filkins, Fyfield, Kelmscott, Kencot, Langford, Little Faringdon, Little London, Southrop, Thornhill, Warrens Cross","Cotswold, Vale of White Horse, West Oxfordshire"
9,GL8,TETBURY,"Ashley, Avening, Babdown, Bagpath, Beverston, Calcot, Chavenage, Cherington, Culkerton, Doughton, Estcourt, Ilsom, Kingscote, Knockdown, Lasborough, Leighterton, Little Larkhill, Long Furlong, Long Newnton, Newington, Shipton Moyne, Trull, Tetbury Upton, Upton, Westonbirt, Willesley","Cotswold, Stroud, Wiltshire"
