,Postcode district,Post town,Coverage,Local authority area
0,IV1,INVERNESS,"Inverness centre and north, including the Longman, plus North Kessock and Kilmuir",Highland
1,IV2,INVERNESS,"Inverness east, plus Culloden, Balloch and Ardersier",Highland
2,IV3,INVERNESS,"Inverness west, plus Dochgarroch, Abriachan and Bunchrew",Highland
3,IV4,BEAULY,"Beauly, Kiltarlity, Struy, Cannich, Tomich",Highland
4,IV5,INVERNESS,"Kirkhill, Inchmore, Moniack and Cabrich",Highland
5,IV6,MUIR OF ORD,"Muir of Ord, Marybank, Strathconon",Highland
6,IV7,DINGWALL,"Conon Bridge, Culbokie, Maryburgh",Highland
7,IV8,MUNLOCHY,Munlochy,Highland
8,IV9,AVOCH,Avoch,Highland
9,IV10,FORTROSE,Fortrose,Highland
10,IV11,CROMARTY,Cromarty,Highland
11,IV12,NAIRN,Auldearn,Highland
12,IV13,INVERNESS,Tomatin,Highland
13,IV14,STRATHPEFFER,Strathpeffer,Highland
14,IV15,DINGWALL,Dingwall,Highland
15,IV16,DINGWALL,Evanton,Highland
16,IV17,ALNESS,Alness,Highland
17,IV18,INVERGORDON,Invergordon,Highland
18,IV19,TAIN,"Tain, Nigg, Edderton",Highland
19,IV20,TAIN,"Hill of Fearn, Portmahomack, Balintore",Highland
20,IV21,GAIRLOCH,Gairloch,Highland
21,IV22,ACHNASHEEN,Achnasheen,Highland
22,IV23,GARVE,Garve,Highland
23,IV24,ARDGAY,"Bonar Bridge, Ardgay, Spinningdale, Culrain",Highland
24,IV25,DORNOCH,Dornoch,Highland
25,IV26,ULLAPOOL,Ullapool,Highland
26,IV27,LAIRG,"Lairg, Durness, Tongue, Scourie",Highland
27,IV28,ROGART,Rogart,Highland
28,IV30,ELGIN,Elgin,Moray
29,IV31,LOSSIEMOUTH,Lossiemouth,Moray
30,IV32,FOCHABERS,Fochabers,Moray
31,IV36,FORRES,Forres,Moray
32,IV40,KYLE,"Kyle of Lochalsh, Raasay",Highland
33,IV41,ISLE OF SKYE,Kyleakin,Highland
34,IV42,ISLE OF SKYE,Breakish,Highland
35,IV43,ISLE OF SKYE,Isle Ornsay,Highland
36,IV44,ISLE OF SKYE,Teangue,Highland
37,IV45,ISLE OF SKYE,"Armadale, Upper Breakish",Highland
38,IV46,ISLE OF SKYE,Tarskavaig,Highland
39,IV47,ISLE OF SKYE,Carbost,Highland
40,IV48,ISLE OF SKYE,Sconser,Highland
41,IV49,ISLE OF SKYE,Broadford,Highland
42,IV51,PORTREE,"Portree, Uig",Highland
43,IV52,PLOCKTON,Plockton,Highland
44,IV53,STROME FERRY,Strome Ferry,Highland
45,IV54,STRATHCARRON,Applecross,Highland
46,IV55,ISLE OF SKYE,Dunvegan,Highland
47,IV56,ISLE OF SKYE,Struan,Highland
48,IV63,INVERNESS,"Drumnadrochit, Glenurquhart and Invermoriston",Highland
49,IV99,INVERNESS,Jobcentre Plus,non-geographic
