,Postcode district,Post town,Coverage,Local authority area
0,KW1,WICK,"John O'Groats, Keiss",Highland
1,KW2,LYBSTER,Caithness,Highland
2,KW3,LYBSTER,Caithness,Highland
3,KW5,LATHERON,Caithness,Highland
4,KW6,DUNBEATH,Caithness,Highland
5,KW7,BERRIEDALE,Caithness,Highland
6,KW8,HELMSDALE,Sutherland,Highland
7,KW9,BRORA,Sutherland,Highland
8,KW10,GOLSPIE,Sutherland,Highland
9,KW11,KINBRACE,Sutherland,Highland
10,KW12,HALKIRK,Caithness,Highland
11,KW13,FORSINARD,Sutherland,Highland
12,KW14,THURSO,Caithness,Highland
13,KW15,KIRKWALL,"Kirkwall, St Ola",Orkney Islands
14,KW16,STROMNESS,"Stromness, Hoy, Flotta, Graemsay, Sandwick, Stenness",Orkney Islands
15,KW17,ORKNEY,"Most of Mainland, all of the north isles, Burray, South Ronaldsay",Orkney Islands
