,Postcode district,Post town,Coverage,Local authority area
0,LL11,WREXHAM,"Wrexham, Coedpoeth, Llandegla, Minera, Bradley, Gwersyllt, Rhosrobin, Stansty, Brymbo, Bwlchgwyn, Cymau, Ffrith, Llanfynydd, Gwynfryn, Tanyfron, Brynteg","Denbighshire,[3] Flintshire,[4] Wrexham[5]"
1,LL12,WREXHAM,"Wrexham, Caergwrle, Cefn-y-bedd, Cymau, Gresford, Hope, Llay, Marford, Rossett","Flintshire,[6] Wrexham[7]"
2,LL13,WREXHAM,"Wrexham, Abenbury, Bowling Bank, Holt, Llan-y-Pwll, Pentre Maelor, Ridley Wood, Bangor-on-Dee, Gyfelia, Marchwiel, Overton, Penley, Worthenbury, Johnstown",Wrexham[8]
3,LL14,WREXHAM,"Wrexham, Rhosllanerchrugog, Cefn Mawr, Ponciau, Rhostyllen, Chirk, Ruabon","Shropshire,[9] Wrexham[10]"
4,LL15,RUTHIN,"Ruthin, Bontuchel, Clawddnewydd, Clocaenog, Cyffylliog, Gellifor, Graigfechan, Llanbedr Dyffryn Clwyd, Llanelidan, Llanfair Dyffryn Clwyd, Pwllglas, Rhewl",Denbighshire
5,LL16,DENBIGH,"Denbigh, Bodfari, Llandyrnog, Llanrhaeadr, Bylchau, Groes, Henllan, Llannefydd, Llansannan, Nantglyn, The Green, Trefnant","Conwy,[11] Denbighshire"
6,LL17,ST. ASAPH,"St Asaph, Allt Goch, Rhuallt, Tremeirchion, Waen","Conwy,[12] Denbighshire"
7,LL18,RHYL,"Rhyl, Bodelwyddan, Cwm Dyserth, Kinmel Bay, Dyserth, Gwaenysgor, Rhuddlan, Trelawnyd","Conwy,[13] Denbighshire, Flintshire[14]"
8,LL18,ST. ASAPH,,non-geographic[15][16]
9,LL19,PRESTATYN,"Prestatyn, Gronant","Denbighshire, Flintshire[17]"
10,LL20,LLANGOLLEN,"Froncysyllte, Garth, Glyn Ceiriog, Llanarmon Dyffryn Ceiriog, Llwynmawr, Pandy, Pontfadog, Rhewl, Tregeiriog, Trevor, Llangollen, Eglwyseg, Llantysilio","Denbighshire, Wrexham[18]"
11,LL21,CORWEN,"Corwen, Cynwyd, Glanrafon, Glasfryn, Llandrillo, Llangwm, Maerdy, Ty Nant, Betws Gwerfil Goch, Bryneglwys, Carrog, Cerrigydrudion, Clawdd Poncen, Derwen, Glyndyfrdwy, Gwyddelwern, Llanfihangel Glyn Myfyr, Llidiart-y-Parc, Melin-y-Wig","Conwy,[19] Denbighshire, Gwynedd[20]"
12,LL22,ABERGELE,"Abergele, Towyn, Betws Yn Rhos, Gwytherin, Llanddulas, Llanfairtalhaiarn, Llangernyw, Moelfre, Pandy Tudur, Rhyd-y-Foel, Glascoed, St. George","Denbighshire,[21] Conwy"
13,LL23,BALA,"Bala, Llandderfel, Llanfor, Llanuwchllyn, Sarnau",Gwynedd
14,LL24,BETWS-Y-COED,"Betws-y-Coed, Capel Curig, Cwm Penmachno, Penmachno, Pentre Du, Pentrefoelas, Ysbyty Ifan",Conwy
15,LL25,DOLWYDDELAN,Dolwyddelan,Conwy
16,LL26,LLANRWST,"Llanrwst, Capel Garmon, Llanddoged, Melin-y-Coed, Maenan",Conwy
17,LL27,TREFRIW,Trefriw,Conwy
18,LL28,COLWYN BAY,"Colwyn Bay, Rhos-on-Sea, Eglwysbach, Glan Conwy, Mochdre, Tal-y-Cafn",Conwy
19,LL29,COLWYN BAY,"Colwyn Bay, Llanelian, Llysfaen, Old Colwyn",Conwy
20,LL30,LLANDUDNO,"Llanrhos, Llandudno, Penrhyn Bay",Conwy
21,LL31,LLANDUDNO JUNCTION,"Glanwydden, Llangwstenin, Llandudno Junction",Conwy
22,LL31,CONWY,Deganwy,Conwy
23,LL32,CONWY,"Conwy, Dolgarrog, Groesffordd, Henryd, Rowen, Tal-y-Bont, Tyn-y-Groes",Conwy
24,LL33,LLANFAIRFECHAN,"Abergwyngregyn, Llanfairfechan","Conwy, Gwynedd[22]"
25,LL34,PENMAENMAWR,"Penmaenmawr, Dwygyfylchi",Conwy
26,LL35,ABERDYFI / ABERDOVEY,Aberdyfi,Gwynedd
27,LL36,TYWYN,"Tywyn, Abergynolwyn, Bryncrug, Llanegryn, Rhoslefain",Gwynedd
28,LL37,LLWYNGWRIL,Llwyngwril,Gwynedd
29,LL38,FAIRBOURNE,"Fairbourne, Friog",Gwynedd
30,LL39,ARTHOG,Arthog,Gwynedd
31,LL40,DOLGELLAU,"Dolgellau, Brithdir, Drws Y Nant, Ganllwyd, Llanelltyd, Llanfachreth, Rhydymain, Tabor",Gwynedd
32,LL41,BLAENAU FFESTINIOG,"Blaenau Ffestiniog, Talwaenydd, Ffestiniog, Gellilydan, Maentwrog, Manod, Trawsfynydd",Gwynedd
33,LL42,BARMOUTH,"Barmouth, Llanaber",Gwynedd
34,LL43,TALYBONT,Talybont,Gwynedd
35,LL44,DYFFRYN ARDUDWY,Dyffryn Ardudwy,Gwynedd
36,LL45,LLANBEDR,Llanbedr,Gwynedd
37,LL46,HARLECH,"Harlech, Llanfair",Gwynedd
38,LL47,TALSARNAU,"Talsarnau, Soar, Ynys",Gwynedd
39,LL48,PENRHYNDEUDRAETH,"Penrhyndeudraeth, Llanfrothen, Minffordd",Gwynedd
40,LL49,PORTHMADOG,"Porthmadog, Borth-y-Gest, Morfa Bychan, Penmorfa, Prenteg, Tremadog",Gwynedd
41,LL51,GARNDOLBENMAEN,Garndolbenmaen,Gwynedd
42,LL52,CRICCIETH,"Criccieth, Llanystumdwy, Pentrefelin, Rhoslan",Gwynedd
43,LL53,PWLLHELI,"Pwllheli, Efailnewydd, Llannor, Abererch, Chwilog, Llithfaen, Nefyn, Pistyll, Plas Gwyn, Y Ffor, Abersoch, Bwlchtocyn, Llanbedrog, Mynytho, Penrhos, Rhydyclafdy, Aberdaron, Boduan, Botwnnog, Edern, Morfa Nefyn, Sarn, Tudweiliog",Gwynedd
44,LL54,CAERNARFON,"Caernarfon, Clynnogfawr, Llanaelhaearn, Llandwrog, Pontllyfni, Saron, Trefor, Llanllyfni, Nantlle, Penygroes, Rhyd Ddu, Talysarn, Bontnewydd, Carmel, Dinas, Groeslon, Rhosgadfan, Rhostryfan",Gwynedd
45,LL55,CAERNARFON,"Caernarfon, Bethel (Gwynedd), Bontnewydd, Caeathro, Brynrefail, Clwt-y-Bont, Deiniolen, Penisarwaun, Beddgelert, Ceunant, Cwm-y-Glo, Llanberis, Llanrug, Nant Gwynant, Nant Peris, Waunfawr",Gwynedd
46,LL56,Y FELINHELI,Y Felinheli,Gwynedd
47,LL57,BANGOR,"Bangor, Llanllechid, Rachub, Talybont, Bethesda, Glasinfryn, Llandygai, Mynydd Llandygai, Rhiwlas, Tregarth",Gwynedd
48,LL58,BEAUMARIS,"Beaumaris, Llanddona, Llanfaes, Llangoed, Penmon",Isle of Anglesey
49,LL59,MENAI BRIDGE,"Menai Bridge, Llandegfan, Llansadwrn",Isle of Anglesey
50,LL60,GAERWEN,"Gaerwen, Llanddaniel, Llangaffo, Star",Isle of Anglesey
51,LL61,LLANFAIRPWLLGWYNGYLL,"Llanfairpwllgwyngyll, Brynsiencyn, Dwyran, Newborough, Penmynydd",Isle of Anglesey
