,Postcode district,Post town,Coverage,Local authority area
0,M1,MANCHESTER,"Piccadilly, City Centre, Market Street",Manchester
1,M2,MANCHESTER,"Deansgate, City Centre",Manchester
2,"M3(Sectors 1, 2, 3, 4 and 9)",MANCHESTER,"City Centre, Deansgate, Castlefield",Manchester
3,"M3(Sectors 5, 6 and 7)",SALFORD,"Blackfriars, Greengate, Trinity",Salford
4,M4,MANCHESTER,"Ancoats, Northern Quarter, Strangeways",Manchester
5,M5,SALFORD,"Ordsall, Seedley, Weaste, University",Salford
6,M6,SALFORD,"Pendleton, Irlams o' th' Height, Langworthy, Seedley, Charlestown",Salford
7,M7,SALFORD,"Higher Broughton, Cheetwood, Lower Broughton, Kersal",Salford
8,M8,MANCHESTER,"Crumpsall, Cheetham Hill",Manchester
9,M9,MANCHESTER,"Harpurhey, Blackley",Manchester
10,M11,MANCHESTER,"Clayton, Openshaw, Beswick",Manchester
11,M12,MANCHESTER,"Ardwick, Longsight, Chorlton-on-Medlock",Manchester
12,M13,MANCHESTER,"Ardwick, Longsight, Chorlton-on-Medlock",Manchester
13,M14,MANCHESTER,"Fallowfield, Moss Side, Ladybarn, Rusholme, Victoria Park, Longsight",Manchester
14,M15,MANCHESTER,"Hulme, Manchester Science Park, Old Trafford","Manchester, Trafford"
15,M16,MANCHESTER,"Firswood, Old Trafford, Whalley Range, Moss Side","Manchester, Trafford"
16,M17,MANCHESTER,"Trafford Park, The Trafford Centre",Trafford
17,M18,MANCHESTER,"Abbey Hey, Gorton",Manchester
18,M19,MANCHESTER,"Levenshulme, Burnage","Manchester, Stockport"
19,M20,MANCHESTER,"Didsbury, Withington",Manchester
20,M21,MANCHESTER,"Chorlton-cum-Hardy, Barlow Moor",Manchester
21,M22,MANCHESTER,"Wythenshawe, Northenden, Sharston Industrial Area",Manchester
22,M23,MANCHESTER,"Baguley, Brooklands (Manchester and Trafford), Roundthorn Industrial Estate","Manchester, Trafford"
23,M24,MANCHESTER,"Middleton, Alkrington, Chadderton","Rochdale, Oldham"
24,M25,MANCHESTER,"Prestwich, Sedgley Park, Simister",Bury
25,M26,MANCHESTER,"Radcliffe, Stoneclough","Bury, Bolton"
26,M27,MANCHESTER,"Swinton, Clifton, Pendlebury, Wardley, Agecroft",Salford
27,M28,MANCHESTER,"Worsley, Walkden, Boothstown, Mosley Common, Wardley Industrial Estate","Salford, Wigan"
28,M29,MANCHESTER,"Tyldesley, Astley",Wigan
29,M30,MANCHESTER,"Eccles, Monton, Peel Green, Winton, Patricroft, Barton-upon-Irwell, Ellesmere Park",Salford
30,M31,MANCHESTER,"Carrington, Partington",Trafford
31,M32,MANCHESTER,"Stretford, Trafford Park",Trafford
32,M33,SALE,"Sale, Brooklands (Manchester and Trafford)","Trafford, Manchester"
33,M34,MANCHESTER,"Denton, Audenshaw",Tameside
34,M35,MANCHESTER,Failsworth,Oldham
35,M38,MANCHESTER,Little Hulton,Salford
36,M40,MANCHESTER,"Collyhurst, Miles Platting, Moston, New Moston, Newton Heath",Manchester
37,M41,MANCHESTER,"Urmston, Davyhulme, Flixton, Trafford Park",Trafford
38,M43,MANCHESTER,Droylsden,Tameside
39,M44,MANCHESTER,"Irlam, Cadishead",Salford
40,M45,MANCHESTER,Whitefield,Bury
41,M46,MANCHESTER,Atherton,Wigan
42,M50,SALFORD,"Salford Quays, MediaCityUK",Salford
43,M60(Sectors 1 and 7),MANCHESTER,Large user and PO Box (located geographically in M1),Manchester
44,M60(Sectors 2 and 8),MANCHESTER,Large user and PO Box (located geographically in M2),Manchester
45,M60(Sectors 3 and 9),MANCHESTER,Large user and PO Box (located geographically in M3),Manchester
46,M60(Sectors 4 and 0),MANCHESTER,Large user and PO Box (located geographically in M4),Manchester
47,M60(Sectors 5 and 6),MANCHESTER,Manchester X,Manchester
48,M60(Sector 9),SALFORD,Large user and PO Box,Salford
49,M61,MANCHESTER,Manchester X,Manchester
50,M90,MANCHESTER,Manchester Airport,Manchester
51,M99,MANCHESTER,Manchester X; JD Williams (located geographically in M1 and M3),Manchester
