,Postcode district,Post town,Coverage,Local authority area
0,OL1,OLDHAM,"Chadderton, Higginshaw, Oldham",Oldham
1,OL2,OLDHAM,"Heyside, Royton, Shaw",Oldham
2,OL3,OLDHAM,"Delph, Denshaw, Diggle, Dobcross, Greenfield, Uppermill",Oldham
3,OL4,OLDHAM,"Austerlands, Grasscroft, Grotton, Lees, Lydgate, Oldham, Scouthead, Springhead, Waterhead",Oldham
4,OL5,ASHTON-UNDER-LYNE,"Mossley, Mossley Cross",Tameside
5,OL6,ASHTON-UNDER-LYNE,Ashton-under-Lyne (centre and east),Tameside
6,OL7,ASHTON-UNDER-LYNE,Ashton-under-Lyne (west),Tameside
7,OL8,OLDHAM,"Bardsley, Oldham",Oldham
8,OL9,OLDHAM,"Chadderton, Oldham, Westwood, Freehold",Oldham
9,OL10,HEYWOOD,Heywood,Rochdale
10,OL11,ROCHDALE,"Rochdale (south), Ashworth, Balderstone, Castleton, Norden",Rochdale
11,OL12,ROCHDALE,"Rochdale (north), Buckley, Facit, Great Howarth, Healy, Hurstead, Shawforth, Wardle, Whitworth","Rochdale, Rossendale"
12,OL13,BACUP,"Bacup, Britannia, Stacksteads",Rossendale
13,OL14,TODMORDEN,"Cornholme, Todmorden, Eastwood, Walsden",Calderdale
14,OL15,LITTLEBOROUGH,"Littleborough, Shore, Smithybridge, Summit",Rochdale
15,OL16,LITTLEBOROUGH,,non-geographic[3][4]
16,OL16,ROCHDALE,"Rochdale (east), Burnedge, Firgrove, Hurstead, Milnrow, Smallbridge, Thornham",Rochdale
17,OL95,OLDHAM,British Gas,non-geographic[3]
