,Postcode district,Post town,Coverage,Local authority area
0,PA1,PAISLEY,"Paisley (central, east and north east), Ralston",Renfrewshire
1,PA2,PAISLEY,"Paisley (south), Castlehead",Renfrewshire
2,PA3,PAISLEY,"Paisley (north west), Linwood",Renfrewshire
3,PA4,RENFREW,"Renfrew, Inchinnan",Renfrewshire
4,PA5,JOHNSTONE,"Johnstone, Brookfield, Elderslie",Renfrewshire
5,PA6,JOHNSTONE,"Johnstone, Houston",Renfrewshire
6,PA7,BISHOPTON,Bishopton,Renfrewshire
7,PA8,ERSKINE,Erskine,Renfrewshire
8,PA9,JOHNSTONE,"Johnstone, Howwood",Renfrewshire
9,PA10,JOHNSTONE,Johnstone Kilbarchan,Renfrewshire
10,PA11,BRIDGE OF WEIR,"Bridge of Weir, Quarrier's Village",Renfrewshire
11,PA12,LOCHWINNOCH,"Lochwinnoch, Newton of Belltrees",Renfrewshire
12,PA13,KILMACOLM,Kilmacolm,Inverclyde
13,PA14,PORT GLASGOW,"Port Glasgow, Langbank",Inverclyde
14,PA15,GREENOCK,Greenock,Inverclyde
15,PA16,GREENOCK,"Greenock, Inverkip",Inverclyde
16,PA17,SKELMORLIE,Skelmorlie,North Ayrshire
17,PA18,WEMYSS BAY,Wemyss Bay,Inverclyde
18,PA19,GOUROCK,Gourock,Inverclyde
19,PA20,ISLE OF BUTE,Isle of Bute,Argyll and Bute
20,PA21,TIGHNABRUAICH,Tighnabruaich,Argyll and Bute
21,PA22,COLINTRAIVE,"Colintraive, Glendaruel",Argyll and Bute
22,PA23,DUNOON,Dunoon,Argyll and Bute
23,PA24,CAIRNDOW,Lochgoilhead,Argyll and Bute
24,PA25,CAIRNDOW,St. Catherines,Argyll and Bute
25,PA26,CAIRNDOW,Cairndow,Argyll and Bute
26,PA27,CAIRNDOW,Strachur,Argyll and Bute
27,PA28,CAMPBELTOWN,Campbeltown,Argyll and Bute
28,PA29,TARBERT,Tarbert,Argyll and Bute
29,PA30,LOCHGILPHEAD,Ardrishaig,Argyll and Bute
30,PA31,LOCHGILPHEAD,"Lochgilphead, Cairnbaan, Crinan, Kilmartin",Argyll and Bute
31,PA32,INVERARAY,Inveraray,Argyll and Bute
32,PA33,DALMALLY,Dalmally,Argyll and Bute
33,PA34,OBAN,Oban,Argyll and Bute
34,PA35,TAYNUILT,Taynuilt,Argyll and Bute
35,PA36,BRIDGE OF ORCHY,Bridge of Orchy,Argyll and Bute
36,PA37,OBAN,"Connel, Benderloch",Argyll and Bute
37,PA38,APPIN,Appin,Argyll and Bute
38,PA41,ISLE OF GIGHA,Gigha,Argyll and Bute
39,PA42,ISLE OF ISLAY,Port Ellen,Argyll and Bute
40,PA43,ISLE OF ISLAY,Bowmore,Argyll and Bute
41,PA44,ISLE OF ISLAY,Bridgend,Argyll and Bute
42,PA45,ISLE OF ISLAY,Ballygrant,Argyll and Bute
43,PA46,ISLE OF ISLAY,Port Askaig,Argyll and Bute
44,PA47,ISLE OF ISLAY,Portnahaven,Argyll and Bute
45,PA48,ISLE OF ISLAY,Port Charlotte,Argyll and Bute
46,PA49,ISLE OF ISLAY,Bruichladdich,Argyll and Bute
47,PA60,ISLE OF JURA,Jura,Argyll and Bute
48,PA61,ISLE OF COLONSAY,Colonsay,Argyll and Bute
49,PA62,ISLE OF MULL,Lochbuie,Argyll and Bute
50,PA63,ISLE OF MULL,Croggan,Argyll and Bute
51,PA64,ISLE OF MULL,Lochdon,Argyll and Bute
52,PA65,ISLE OF MULL,Craignure,Argyll and Bute
53,PA66,ISLE OF MULL,Fionnphort,Argyll and Bute
54,PA67,ISLE OF MULL,Bunessan,Argyll and Bute
55,PA68,ISLE OF MULL,Gribun,Argyll and Bute
56,PA69,ISLE OF MULL,Tiroran,Argyll and Bute
57,PA70,ISLE OF MULL,Pennyghael,Argyll and Bute
58,PA71,ISLE OF MULL,Gruline,Argyll and Bute
59,PA72,ISLE OF MULL,"Aros, Salen",Argyll and Bute
60,PA73,ISLE OF MULL,Ulva Ferry,Argyll and Bute
61,PA74,ISLE OF MULL,Torloisk,Argyll and Bute
62,PA75,ISLE OF MULL,"Tobermory, Calgary",Argyll and Bute
63,PA76,ISLE OF IONA,Iona,Argyll and Bute
64,PA77,ISLE OF TIREE,Tiree,Argyll and Bute
65,PA78,ISLE OF COLL,Coll,Argyll and Bute
66,PA80,OBAN,Morvern,Highland
