,Postcode district,Post town,Coverage,Local authority area
0,PE1,PETERBOROUGH,"Peterborough, Dogsthorpe, Eastfield, Eastgate, Fengate, Newark, Parnwell",Peterborough
1,PE2,PETERBOROUGH,"Alwalton, Fletton, The Ortons, Stanground, Woodston",Peterborough
2,PE3,PETERBOROUGH,"Peterborough, Bretton, Longthorpe, Netherton, Ravensthorpe, Westwood",Peterborough
3,PE4,PETERBOROUGH,"Gunthorpe, Paston, Walton, Werrington",Peterborough
4,PE5,PETERBOROUGH,"Ailsworth, Castor, Sutton",Peterborough
5,PE6,PETERBOROUGH,"Baston, Crowland, The Deepings, Eye, Glinton, Langtoft, Northborough, Upton","South Kesteven, Peterborough"
6,PE7,PETERBOROUGH,"Coates, Farcet, Folksworth, Hampton, Stilton, Yaxley, Whittlesey","Peterborough, Huntingdonshire, Fenland"
7,PE8,PETERBOROUGH,"Achurch, Apethorpe, Armston, Ashton, Barnwell, Blatherwycke, Cotterstock, Elton, Fotheringhay, Hemington, Kings Cliffe, Lower Benefield, Luddington, Nassington, Oundle, Polebrook, Sibson, Southwick, Stibbington, Tansor, Thornhaugh, Thurning, Upper Benefield, Wadenhoe, Wansford, Warmington, Water Newton, Wigsthorpe, Wittering, Woodnewton, Yarwell",East Northamptonshire
8,PE9,STAMFORD,"Stamford, Ashton, Aunby, Bainton, Barholm, Barnack, Braceborough, Careby, Carlby, Collyweston, Duddington, Essendine, Easton-on-the-Hill, Great Casterton, Greatford, Ketton, Little Casterton, Newstead, Pickworth, Pilsgate, Ryhall, Southorpe, Tallington, Tickencote, Tinwell, Tixover, Uffington, Ufford, Wilsthorpe, Wothorpe","South Kesteven, Rutland, East Northamptonshire"
9,PE10,BOURNE,"Bourne, Bulby, Cawthorpe, Dowsby, Dunsby, Dyke, Edenham, Grimsthorpe, Haconby, Hanthorpe, Keisby, Kirkby Underwood, Lound, Manthorpe, Morton, Rippingale, Scottlethorpe, Stainfield, Thurlby, Toft, Twenty, Witham on the Hill",South Kesteven
10,PE11,SPALDING,"Spalding (most of), Deeping St. Nicholas, Donington, Gosberton, Hop Pole, Pinchbeck, Pode Hole, Quadring, Quadring Fen, Surfleet, Tongue End",South Holland
11,PE12,SPALDING,"Spalding (eastern outskirts), Cowbit, Gedney, Fleet, Holbeach, Holbeach Drove, Little Sutton, Long Sutton, Moulton, Sutton Bridge, Weston, Weston Hills, Whaplode",South Holland
12,PE13,WISBECH,"Wisbech (most of), Guyhirn, Murrow, Parson Drove, Tydd St. Giles, Wisbech St. Mary",Fenland
13,PE14,WISBECH,"Wisbech (outskirts), Elm, Emneth, Emneth Hungate, Marshland St. James, Outwell, Terrington St. John, Tipps End, Upwell, Walpole Highway, Walpole St Peter, Walpole St Andrew, Walsoken, Welney, West Walton","Fenland, King's Lynn and West Norfolk"
14,PE15,MARCH,"March, Benwick, Doddington, Manea, Wimblington",Fenland
15,PE16,CHATTERIS,"Chatteris, Swingbrow",Fenland
16,PE19,ST. NEOTS,"St Neots, Abbotsley, Buckden, Croxton, Diddington, Duloe, Eaton Ford, Eaton Socon, Eltisley, Eynesbury, Graveley, Great Paxton, Great Staughton, Hail Weston, Honeydon, Little Barford, Little Paxton, Offord Cluny, Southoe, Staploe, Toseland, Yelling","Huntingdonshire, Bedford"
17,PE20,BOSTON,"Algarkirk, Amber Hill, Bicker, Brothertoft, Fosdyke, Frampton, Kirton, Sutterton, Swineshead, Wigtoft",Boston
18,PE21,BOSTON,"Boston, Fishtoft, Wyberton",Boston
