,Postcode district,Post town,Coverage,Local authority area
0,PH1,PERTH,"City centre north and west of the Post Office, and immediate hinterland villages",Perth and Kinross
1,PH2,PERTH,"City centre south and east of the Post Office, and immediate hinterland villages",Perth and Kinross
2,PH3,AUCHTERARDER,Aberuthven,Perth and Kinross
3,PH4,AUCHTERARDER,Blackford,Perth and Kinross
4,PH5,CRIEFF,Muthill,Perth and Kinross
5,PH6,CRIEFF,"Comrie, St Fillans, Dunira",Perth and Kinross
6,PH7,CRIEFF,"Crieff, Gilmerton, Madderty",Perth and Kinross
7,PH8,DUNKELD,"Dunkeld, Birnam, Amulree",Perth and Kinross
8,PH9,PITLOCHRY,"Ballinuig, Strathy, Tulliemet",Perth and Kinross
9,PH10,BLAIRGOWRIE,"Blairgowrie and Rattray, Rattray, Bridge of Cally",Perth and Kinross
10,PH11,BLAIRGOWRIE,Alyth,Perth and Kinross
11,PH12,BLAIRGOWRIE,"Meigle, Newtyle","Perth and Kinross, Angus"
12,PH13,BLAIRGOWRIE,"Coupar Angus,",Perth and Kinross
13,PH14,PERTH,"Inchture, Abernyte",Perth and Kinross
14,PH15,ABERFELDY,Aberfeldy,Perth and Kinross
15,PH16,PITLOCHRY,"Pitlochry, Strath Tummel, Kinloch Rannoch",Perth and Kinross
16,PH17,PITLOCHRY,"Rannoch, Bridge of Gaur",Perth and Kinross
17,PH18,PITLOCHRY,"Blair Atholl, Calvine, Bridge of Tilt",Perth and Kinross
18,PH19,DALWHINNIE,Dalwhinnie,Highland
19,PH20,NEWTONMORE,"Newtonmore, Kinloch Laggan, Laggan",Highland
20,PH21,KINGUSSIE,"Kingussie, Insh, Kincraig",Highland
21,PH22,AVIEMORE,Aviemore,Highland
22,PH23,CARRBRIDGE,"Carrbridge, Bogroy",Highland
23,PH24,BOAT OF GARTEN,Boat of Garten,Highland
24,PH25,NETHY BRIDGE,Nethy Bridge,Highland
25,PH26,GRANTOWN-ON-SPEY,"Grantown-on-Spey, Advie, Cromdale, Dulnain Bridge",Highland
26,PH30,CORROUR,Corrour,Highland
27,PH31,ROY BRIDGE,"Roy Bridge, Murlaggan, Tulloch",Highland
28,PH32,FORT AUGUSTUS,"Fort Augustus, Auchterawe",Highland
29,PH33,FORT WILLIAM,Fort William,Highland
30,PH34,SPEAN BRIDGE,"Spean Bridge, South Laggan, Achnacarry",Highland
31,PH35,INVERGARRY,Invergarry,Highland
32,PH36,ACHARACLE,Acharacle,Highland
33,PH37,GLENFINNAN,"Glenfinnan, Polloch",Highland
34,PH38,LOCHAILORT,"Lochailort, Glenuig, Kinlochmoidart",Highland
35,PH39,ARISAIG,Arisaig,Highland
36,PH40,MALLAIG,Morar,Highland
37,PH41,MALLAIG,"Mallaig, Knoydart",Highland
38,PH42,ISLE OF EIGG,Isle of Eigg,Highland
39,PH43,ISLE OF RUM,Isle of Rum,Highland
40,PH44,ISLE OF CANNA,Isle of Canna,Highland
41,PH49,BALLACHULISH,Ballachulish,Highland
42,PH50,KINLOCHLEVEN,Kinlochleven,Highland
