,Postcode district,Post town,Coverage,Local authority area
0,PO1,PORTSMOUTH,"Portsmouth, Fratton, Old Portsmouth, Portsea, Landport",Portsmouth
1,PO2,PORTSMOUTH,"Portsmouth, Hilsea, North End, Tipner, Stamshaw",Portsmouth
2,PO3,PORTSMOUTH,"Portsmouth, Hilsea, Baffins, Copnor, Anchorage Park",Portsmouth
3,PO4,SOUTHSEA,"Southsea, Milton, Eastney",Portsmouth
4,PO5,SOUTHSEA,Southsea,Portsmouth
5,PO6,PORTSMOUTH,"Paulsgrove, Cosham, Drayton, Farlington",Portsmouth
6,PO7,WATERLOOVILLE,"Waterlooville, Denmead, Purbrook","Havant, Winchester"
7,PO8,WATERLOOVILLE,"Clanfield, Cowplain, Horndean","Havant, East Hampshire"
8,PO9,HAVANT,Havant,Havant
9,PO9,ROWLAND'S CASTLE,Rowland's Castle,"East Hampshire, Havant"
10,PO10,EMSWORTH,"Emsworth, Southbourne, Westbourne","Havant, Chichester"
11,PO11,HAYLING ISLAND,Hayling Island,Havant
12,PO12,GOSPORT,"Gosport, Alverstoke, Hardway",Gosport
13,PO13,GOSPORT,Gosport,Gosport
14,PO13,LEE-ON-THE-SOLENT,Lee-on-the-Solent,Gosport
15,PO14,FAREHAM,"Fareham, Hill Head, Stubbington, Titchfield",Fareham
16,PO15,FAREHAM,"Fareham, Titchfield, Whiteley",Fareham
17,PO16,FAREHAM,Portchester,Fareham
18,PO17,FAREHAM,Wickham,Fareham
19,PO18,CHICHESTER,"Bosham, Boxgrove, Eartham, East Dean, Goodwood, Funtington, Nutbourne",Chichester
20,PO19,CHICHESTER,"Chichester, Fishbourne",Chichester
21,PO20,CHICHESTER,"Selsey, West Wittering, East Wittering, Tangmere, Oving, Westergate, Eastergate","Chichester, Arun"
22,PO21,BOGNOR REGIS,"Bognor Regis, Aldwick, Pagham",Arun
23,PO22,BOGNOR REGIS,"Bognor Regis, Barnham, Elmer, Felpham, Middleton-on-Sea",Arun
24,PO24,PORTSMOUTH,Census 2021 (its main national office),non-geographic
25,PO30,NEWPORT,,Isle of Wight
26,PO31,COWES,"Cowes, Gurnard",Isle of Wight
27,PO32,EAST COWES,"East Cowes, Whippingham",Isle of Wight
28,PO33,RYDE,,Isle of Wight
29,PO34,SEAVIEW,Seaview,Isle of Wight
30,PO35,BEMBRIDGE,"Bembridge, Whitecliff Bay",Isle of Wight
31,PO36,SANDOWN,,Isle of Wight
32,PO37,SHANKLIN,,Isle of Wight
33,PO38,VENTNOR,,Isle of Wight
34,PO39,TOTLAND BAY,"Totland Bay, Alum Bay",Isle of Wight
35,PO40,FRESHWATER,Freshwater,Isle of Wight
36,PO41,YARMOUTH,,Isle of Wight
