,Postcode district,Post town,Coverage,Local authority area
0,SA1,SWANSEA,"Bonymaen, Copper Quarter, Crymlyn Burrows, Danygraig, Greenhill, Hafod, Jersey Marine, Landore, Maritime Quarter, Mayhill, Mount Pleasant, Pentrechwyth, Port Tennant, St. Thomas, City Centre, Townhill, Waun Wen, Winch Wen, Winch Wen Industrial Estate",Swansea
1,SA2,SWANSEA,"Brynmill, Cockett, Derwen Fawr, Dunvant, Fairwood, Glanmor, Hendrefoilan, Hendrefoilan Student Village, Ilston, Killay, Sketty, Sketty Park, Singleton Park (University Campus), Tycoch, Uplands, Upper Killay",Swansea
2,SA3,SWANSEA,"Bishopston, Blackpill, Caswell, Clyne, Langland, Mumbles, Oystermouth, Southgate, South Gower, West Cross,",Swansea
3,SA4,SWANSEA,"Blue Anchor, Gorseinon, Gowerton, Hendy (Carmarthenshire), Loughor, North Gower, Penllergaer, Penclawdd, Pontarddulais, Three Crosses","Swansea, Carmarthenshire"
4,SA5,SWANSEA,"Blaenymaes, Cwmdu, Cwmdu Industrial Estate, Felindre, Fforestfach, Gendros, Llangyfelach, Llewitha, Manselton, Penlan, Portmead, Tirdeunaw, Waunarlwydd",Swansea
5,SA6,SWANSEA,"Clase, Cwmrhydyceirw, Clydach, Morriston, Plasmarl, Plasmarl Industrial Estate, Swansea Enterprise Park, Ynystawe, Ynysforgan",Swansea
6,SA7,SWANSEA,"Birchgrove, Glais, Llansamlet, Swansea Enterprise Park, Talycoppa, Trallwn",Swansea
7,SA8,SWANSEA,"Alltwen, Cwmtawe, Pontardawe, Rhos, Rhyd-y-fro, Trebanos, Ynysmeudwy",Neath Port Talbot
8,SA9,SWANSEA,"Abercraf, Cefnbrynbrain, Cwmllynfell, Cwmtwrch, Lower Cwmtwrch, Rhiwfawr, Upper Cwmtwrch, Ystalyfera, Ystradgynlais, Ystradowen","Neath Port Talbot, Powys, Carmarthenshire"
9,SA10,NEATH,"Aberdulais, Bryncoch, Cadoxton, Caewern, Coed Darcy, Crynant, Jersey Marine, Llandarcy, Neath Abbey, Onllwyn, Seven Sisters, Skewen",Neath Port Talbot
