,Postcode district,Post town,Coverage,Local authority area
0,SE1,LONDON,"South Eastern head district: Bankside, South Bank, Lambeth (part), Southwark, Bermondsey (part), Vauxhall (part), Old Kent Road (part)","City of London, Lambeth, Southwark"
1,SE1P,LONDON,,non-geographic
2,SE2,LONDON,"Abbey Wood district: Abbey Wood, West Heath, Crossness, Thamesmead (part), Plumstead (part), Bostall","Bexley, Greenwich"
3,SE3,LONDON,"Blackheath district: Blackheath, Kidbrooke, Westcombe Park","Greenwich, Lewisham"
4,SE4,LONDON,"Brockley district: Brockley, Crofton Park",Lewisham
5,SE5,LONDON,"Camberwell district: Camberwell, Denmark Hill, Peckham, Brixton (part)","Lambeth, Southwark"
6,SE6,LONDON,"Catford district: Catford, Bellingham, Hither Green (part)",Lewisham
7,SE7,LONDON,Charlton district: Charlton,Greenwich
8,SE8,LONDON,"Deptford district: Deptford, Evelyn, Rotherhithe (part)","Greenwich, Lewisham, Southwark"
9,SE9,LONDON,"Eltham district: Eltham, Mottingham, New Eltham, Well Hall, Avery Hill (part), Falconwood (part), Sidcup (part), Chinbrook (part), Longlands (part) Kidbrooke (part), Shooter's Hill (part)","Bexley, Bromley, Greenwich, Lewisham"
10,SE10,LONDON,"Greenwich district: Greenwich, Maze Hill, Greenwich Peninsula","Greenwich, Lewisham"
11,SE11,LONDON,"Kennington district: Kennington, Lambeth (part), Vauxhall (part), Oval (part)","Lambeth, Southwark"
12,SE12,LONDON,"Lee district: Lee, Mottingham, Grove Park, Chinbrook, Hither Green (part), Eltham (part), Horn Park","Bromley, Greenwich, Lewisham"
13,SE13,LONDON,"Lewisham district: Lewisham, Hither Green, Ladywell","Greenwich, Lewisham"
14,SE14,LONDON,New Cross district: New Cross,Lewisham
15,SE15,LONDON,"Peckham district: Peckham, Nunhead, South Bermondsey (part), Old Kent Road (part)","Lewisham, Southwark"
16,SE16,LONDON,"Rotherhithe district: Rotherhithe (part), Surrey Quays, South Bermondsey (part)","Lewisham, Southwark"
17,SE17,LONDON,"Walworth district: Walworth, Kennington (part), Newington",Southwark
18,SE18,LONDON,"Woolwich district: Woolwich, Royal Arsenal, Plumstead, Shooter's Hill","Bexley, Greenwich"
19,SE19,LONDON,"Norwood district: Upper Norwood, Crystal Palace","Bromley, Croydon, Lambeth, Lewisham, Southwark"
20,SE20,LONDON,"Anerley district: Anerley, Crystal Palace (part), Penge, Beckenham (part)",Bromley
21,SE21,LONDON,"Dulwich district: Dulwich, Dulwich Village, West Dulwich, Tulse Hill (part)","Lambeth, Southwark"
22,SE22,LONDON,"East Dulwich district: East Dulwich, Dulwich Village (part), Peckham Rye, Loughborough Junction, Herne Hill",Southwark
23,SE23,LONDON,"Forest Hill district: Forest Hill, Honor Oak, Crofton Park (part)","Lewisham, Southwark"
24,SE24,LONDON,"Herne Hill district: Herne Hill, Tulse Hill (part), Dulwich (part)","Lambeth, Southwark"
25,SE25,LONDON,"South Norwood district: South Norwood, Selhurst (part), Thornton Heath (part), Woodside (part)",Croydon
26,SE26,LONDON,"Sydenham district: Sydenham, Crystal Palace (part)","Bromley, Lewisham, Southwark"
27,SE27,LONDON,"West Norwood district: West Norwood, Gipsy Hill (part)",Lambeth
28,SE28,LONDON,Thamesmead district: Thamesmead,"Bexley, Greenwich"
