,Postcode district,Post town,Coverage,Local authority area
0,SG1,STEVENAGE,"North Stevenage including Old Town and Town Centre, Great Ashby","Stevenage, North Hertfordshire"
1,SG2,STEVENAGE,"South Stevenage, Walkern, Ardeley","Stevenage, East Hertfordshire"
2,SG3,KNEBWORTH,"Knebworth, Datchworth, Woolmer Green","North Hertfordshire, East Hertfordshire, Welwyn Hatfield"
3,SG4,HITCHIN,"Hitchin (east), Codicote, Kimpton, Weston, St Ippolyts, Little Wymondley, Whitwell, Graveley, Great Wymondley, Breachwood Green, Gosmore, Preston, St Paul's Walden, Langley, Bendish, Ley Green, King's Walden, Hall's Green",North Hertfordshire
4,SG5,HITCHIN,"Hitchin (west), Stotfold, Ickleford, Shillington, Offley, Fairfield Park, Pirton, Holwell, Apsley End, Hexton, Charlton, Astwick, Pegsdon, Higham Gobion","North Hertfordshire, Central Bedfordshire"
5,SG6,HITCHIN,,non-geographic[4][5]
6,SG6,LETCHWORTH GARDEN CITY,"Letchworth, Norton, Willian",North Hertfordshire
7,SG7,BALDOCK,"Baldock, Ashwell, Hinxworth, Wallington, Newnham, Bygrave, Radwell, Clothall, Odsey, Caldecote","North Hertfordshire, South Cambridgeshire"
8,SG8,ROYSTON,"Royston, Abington Pigotts, Arrington, Barkway, Barley, Bassingbourn, Chrishall, Croydon, Fowlmere, Great Chishill, Guilden Morden, Heydon, Kelshall, Kneesworth, Litlington, Little Chishill, Melbourn, Meldreth, New Wimpole, Nuthampstead, Orwell, Reed, Shepreth, Shingay, Steeple Morden, Tadlow, Therfield, Thriplow, Wendy, Whaddon","North Hertfordshire, South Cambridgeshire, Uttlesford"
9,SG9,BUNTINGFORD,"Buntingford, Cottered, Great Hormead, Furneux Pelham, Brent Pelham, Stocking Pelham, Hare Street, Anstey, Westmill, Wyddial, Buckland, Aspenden, Chipping, Sandon, Rushden, Throcking, Meesden, Little Hormead","East Hertfordshire, North Hertfordshire"
10,SG10,MUCH HADHAM,"Much Hadham, Perry Green",East Hertfordshire
11,SG11,WARE,"Albury, Braughing, Bury Green, Colliers End, Haultwick, High Cross, Little Hadham, Nasty, Patmore Heath, Puckeridge, Standon, Standon Green End",East Hertfordshire
12,SG12,WARE,"Ware, Amwell, Stanstead Abbotts, Stanstead St Margarets, Widford, Hunsdon, Thundridge, Wadesmill, Dane End, Tonwell, Chapmore End, Wareside, Babbs Green, Sacombe",East Hertfordshire
13,SG13,HERTFORD,"Hertford, Newgate Street Village, Bayford, Brickendon","East Hertfordshire, Welwyn Hatfield"
14,SG14,HERTFORD,"Watton-at-Stone, Bramfield, Waterford, Hertford (part)",East Hertfordshire
15,SG15,ARLESEY,Arlesey,Central Bedfordshire
16,SG16,HENLOW,"Henlow, Henlow Camp, Lower Stondon, Upper Stondon",Central Bedfordshire
17,SG17,SHEFFORD,"Shefford, Clifton, Meppershall, Campton, Chicksands, Beadlow, Deadman's Cross",Central Bedfordshire
18,SG18,BIGGLESWADE,"Biggleswade, Langford, Lower Caldecote, Northill, Upper Caldecote",Central Bedfordshire
19,SG19,SANDY,"Sandy, Potton, Gamlingay, Great Gransden, Wrestlingworth, Tempsford, Everton, Waresley, Little Gransden, Sutton, Beeston, Hatley, Eyeworth, Cockayne Hatley, Hatch, Thorncote Green, Budna","Central Bedfordshire, South Cambridgeshire, Huntingdonshire"
