,Postcode district,Post town,Coverage,Local authority area
0,SS0,WESTCLIFF-ON-SEA,"Westcliff-on-Sea, Chalkwell",Southend-on-Sea
1,SS1,WESTCLIFF-ON-SEA,PO Boxes[3],non-geographic
2,SS1,SOUTHEND-ON-SEA,"Southend-on-Sea, Thorpe Bay",Southend-on-Sea
3,SS2,SOUTHEND-ON-SEA,"Southend-on-Sea, Prittlewell, Southchurch",Southend-on-Sea
4,SS3,SOUTHEND-ON-SEA,"Shoeburyness, Great Wakering, Little Wakering, Barling","Rochford, Southend-on-Sea"
5,SS4,ROCHFORD,"Rochford, Ashingdon, Canewdon, Stambridge, Paglesham",Rochford
6,SS5,HOCKLEY,"Hockley, Hullbridge, Hawkwell",Rochford
7,SS6,RAYLEIGH,Rayleigh,Rochford
8,SS7,BENFLEET,"Hadleigh, South Benfleet, Thundersley",Castle Point
9,SS8,CANVEY ISLAND,Canvey Island,Castle Point
10,SS9,LEIGH-ON-SEA,"Eastwood, Leigh-on-Sea",Southend-on-Sea
11,SS11,WICKFORD,Wickford,"Basildon, Chelmsford, Rochford"
12,SS12,WICKFORD,"Wickford, North Benfleet",Basildon
13,SS13,BASILDON,Pitsea,Basildon
14,SS14,BASILDON,Basildon,Basildon
15,SS15,BASILDON,Laindon,Basildon
16,SS16,BASILDON,Langdon Hills,Basildon
17,SS17,STANFORD-LE-HOPE,"Stanford-le-Hope, Corringham, Horndon-on-the-Hill",Thurrock
18,SS22,SOUTHEND-ON-SEA,International Masters Publishers[3],non-geographic
19,SS99,SOUTHEND-ON-SEA,"HM Revenue and Customs (VAT),[3] First Data[3]",non-geographic
