,Postcode district,Post town,Coverage,Local authority area
0,ST1,STOKE-ON-TRENT,"Hanley, Cobridge, Sneyd Green, Birches Head, Shelton",Stoke-on-Trent
1,ST2,STOKE-ON-TRENT,"Bentilee, Abbey Hulton, Bucknall","Stoke-on-Trent, Staffordshire Moorlands"
2,ST3,STOKE-ON-TRENT,"Longton, Meir, Blurton, Weston Coyney","Stoke-on-Trent, Stafford, Staffordshire Moorlands"
3,ST4,STOKE-ON-TRENT,"Stoke, Fenton, Penkhull, Trentham","Stoke-on-Trent, Stafford"
4,ST5,NEWCASTLE,"Newcastle-under-Lyme, Keele, Chesterton","Newcastle-under-Lyme, Stafford"
5,ST6,STOKE-ON-TRENT,"Tunstall, Burslem, Smallthorne, Brown Edge","Stoke-on-Trent, Staffordshire Moorlands"
6,ST7,STOKE-ON-TRENT,"Kidsgrove, Talke, Talke Pits, Alsager, Mow Cop, Audley","Newcastle-under-Lyme, Cheshire East, Stoke-on-Trent, Staffordshire Moorlands"
7,ST8,STOKE-ON-TRENT,Biddulph,"Staffordshire Moorlands, Stoke-on-Trent"
8,ST9,STOKE-ON-TRENT,"Werrington, Endon","Staffordshire Moorlands, Stoke-on-Trent"
9,ST10,STOKE-ON-TRENT,"Cheadle, Church Leigh, Tean, Alton","Staffordshire Moorlands, East Staffordshire"
10,ST11,STOKE-ON-TRENT,"Blythe Bridge, Forsbrook, Caverswall","Staffordshire Moorlands, Stafford"
11,ST12,STOKE-ON-TRENT,Barlaston,"Stafford, Stoke-on-Trent"
12,ST13,LEEK,Leek,Staffordshire Moorlands
13,ST14,UTTOXETER,"Uttoxeter, Bramshall, Stramshall","East Staffordshire, Derbyshire Dales"
14,ST15,STONE,Stone,"Stafford, Staffordshire Moorlands"
15,ST16,STAFFORD,Stafford,Stafford
16,ST17,STAFFORD,Stafford,"Stafford, South Staffordshire"
17,ST18,STAFFORD,Stafford,"Stafford, South Staffordshire, East Staffordshire"
18,ST19,STAFFORD,Penkridge,South Staffordshire
19,ST20,STAFFORD,"Stafford, Woodseaves, Norbury",Stafford
20,ST21,STAFFORD,"Stafford, Eccleshall, Rodbaston",Stafford
