,Postcode district,Post town,Coverage,Local authority area
0,SY1,SHREWSBURY,Shrewsbury (north and town centre),Shropshire
1,SY2,SHREWSBURY,Shrewsbury (east),Shropshire
2,SY3,SHREWSBURY,"Shrewsbury (south and west), Bayston Hill",Shropshire
3,SY4,SHREWSBURY,"Baschurch, Bomere Heath, Nesscliffe, Shawbury, Wem",Shropshire
4,SY5,SHREWSBURY,"Atcham, Cressage, Criggion, Condover, Minsterley, Pontesbury, Ratlinghope, Westbury, Wroxeter","Shropshire, Powys"
5,SY6,CHURCH STRETTON,"Church Stretton, Cardington",Shropshire
6,SY7,"BUCKNELL, CRAVEN ARMS, LYDBURY NORTH","Craven Arms, Clun Valley, Diddlebury, Leintwardine, Lingen, Munslow, Tugford","Shropshire, Herefordshire"
7,SY8,LUDLOW,"Ludlow, Brimfield, Clee Hill, Culmington, Leinthall Starkes, Richard's Castle, Stoke St. Milborough","Shropshire, Herefordshire"
8,SY9,BISHOPS CASTLE,"Bishop's Castle, Wentnor",Shropshire
9,SY10,OSWESTRY,"Oswestry (outskirts), Gobowen, Llansilin, Llangedwyn, Llanrhaeadr-ym-Mochnant, Pen-y-bont-fawr, Llanwddyn","Shropshire, Powys"
10,SY11,OSWESTRY,"Oswestry (most of), St Martin's, West Felton",Shropshire
11,SY12,ELLESMERE,"Ellesmere, Dudleston Heath (Criftins), Welshampton, Lyneal, Colemere, Cockshutt, English Frankton, Tetchill, Hordley, Bagley",Shropshire
12,SY13,WHITCHURCH,"Whitchurch, Whixall",Shropshire
13,SY14,MALPAS,"Malpas, Tilston, No Man's Heath, Bickley, Hampton, Shocklach, Bulkeley, Bickerton, Cuddington Heath, Cholmondeley, Threapwood, Barton, Duckington","Cheshire West and Chester, Cheshire East, Wrexham"
14,SY15,MONTGOMERY,"Montgomery, Abermule, Chirbury, Church Stoke","Powys, Shropshire"
15,SY16,NEWTOWN,"Newtown, Tregynon, Bettws Cedewain",Powys
16,SY17,"CAERSWS, LLANDINAM","Caersws, Llandinam, Trefeglwys, Carno, Llanwnnog, Pontdolgoch, Clatter",Powys
17,SY18,LLANIDLOES,"Llanidloes, Llangurig, Van, Tylwch",Powys
18,SY19,LLANBRYNMAIR,"Llanbrynmair, Llan, Bont Dolgadfan, Dolfach, Talerddig, Staylittle, Pennant, Dylife",Powys
19,SY20,MACHYNLLETH,"Machynlleth, Corris","Powys, Gwynedd"
20,SY21,WELSHPOOL,"Welshpool, Marton, Stockton","Powys, Shropshire"
21,SY22,"LLANFECHAIN, LLANFYLLIN, LLANSANTFFRAID, LLANYMYNECH, MEIFOD","Llanfechain, Llanfyllin, Llansantffraid-ym-Mechain, Llanymynech, Meifod",Powys
22,SY23,"ABERYSTWYTH, LLANON, LLANRHYSTUD","Aberystwyth, Llanbadarn Fawr, Penparcau, Llanon, Llanrhystud",Ceredigion
23,SY24,"BORTH, BOW STREET, TALYBONT","Borth, Bow Street, Pen-y-garn, Rhydypennau, Llandre, Talybont",Ceredigion
24,SY25,"YSTRAD MEURIG, TREGARON","Ystrad Meurig, Tregaron",Ceredigion
25,SY99,SHREWSBURY,Jobcentre Plus,non-geographic
