,Postcode district,Post town,Coverage,Local authority area
0,TF1,TELFORD,"Wellington, Leegomery, Hadley, Ketley, Arleston, Hortonwood",Telford & Wrekin
1,TF2,TELFORD,"Oakengates, Priorslee, St. Georges, Donnington, Wrockwardine Wood, Muxton",Telford & Wrekin
2,TF3,TELFORD,"Telford Town Centre and Park, Hollinswood, Randlay, Stirchley, Brookside, Stafford Park",Telford & Wrekin
3,TF4,TELFORD,"Dawley, Malinslee, Lawley, Horsehay",Telford & Wrekin
4,TF5,TELFORD,"Admaston, Bratton, Shawbirch",Telford & Wrekin
5,TF6,TELFORD,"The Wrekin, Wrockwardine, Longden-upon-Tern, High Ercall",Telford & Wrekin
6,TF7,TELFORD,"Madeley, Woodside, Sutton Hill, Halesfield",Telford & Wrekin
7,TF8,TELFORD,"Ironbridge, Coalbrookdale, Coalport, Jackfield",Telford & Wrekin
8,TF9,MARKET DRAYTON,"Market Drayton, Loggerheads, Hodnet, Ternhill","Shropshire, Newcastle-under-Lyme"
9,TF10,NEWPORT,"Newport, Lilleshall, Edgmond, Moreton, Great Chatwell, Orslow","Telford & Wrekin, Stafford, South Staffordshire"
10,TF11,SHIFNAL,"Shifnal, Tong, Weston-under-Lizard","Shropshire, South Staffordshire"
11,TF12,BROSELEY,Broseley,Shropshire
12,TF13,MUCH WENLOCK,Much Wenlock,Shropshire
