,Postcode district,Post town,Coverage,Local authority area
0,W1A,LONDON,PO boxes & Admail codes in W1[7],non-geographic
1,W1B,LONDON,"Portland Place, Regent Street",Westminster
2,W1C,LONDON,Oxford Street (west),Westminster
3,W1D,LONDON,"Soho (south east); Chinatown, Soho Square",Westminster
4,W1F,LONDON,Soho (north west),Westminster
5,W1G,LONDON,Harley Street,Westminster
6,W1H,LONDON,Marylebone,Westminster
7,W1J,LONDON,"Mayfair (south), Piccadilly",Westminster
8,W1K,LONDON,"Mayfair (north), Grosvenor Square",Westminster
9,W1S,LONDON,"Mayfair (east), Hanover Square, Savile Row, Royal Academy",Westminster
10,W1T,LONDON,"Fitzrovia, Tottenham Court Road",Camden
11,W1U,LONDON,Marylebone,Westminster
12,W1W,LONDON,"Great Portland Street, Fitzrovia",Westminster
13,W2,LONDON,"Paddington head district: Paddington, Bayswater, Hyde Park, Westbourne Green, Little Venice (part), Notting Hill (part)","Kensington and Chelsea, Westminster"
14,W3,LONDON,"Acton district: Acton, West Acton, North Acton (part), South Acton, East Acton (west), Park Royal (south), Hanger Hill Garden Estate, Gunnersbury Park","Ealing, Hammersmith and Fulham, Hounslow"
15,W4,LONDON,"Chiswick district: Chiswick, Gunnersbury, Turnham Green, Acton Green, South Acton (part), Bedford Park","Ealing, Hammersmith and Fulham, Hounslow"
16,W5,LONDON,"Ealing district: Ealing, South Ealing, Ealing Common, North Ealing, Northfields, (south and east), Pitshanger, Hanger Lane","Ealing, Hounslow"
17,W6,LONDON,"Hammersmith district: Fulham, Hammersmith, Ravenscourt Park, Stamford Brook (part)","Hammersmith and Fulham, Hounslow"
18,W7,LONDON,"Hanwell district: Hanwell, Boston Manor (part)","Ealing, Hounslow"
19,W8,LONDON,"Kensington district: Kensington, Holland Park (part)",Kensington and Chelsea
20,W9,LONDON,"Maida Hill district: Maida Hill, Maida Vale, Little Venice (part)","Brent, Camden, Westminster"
21,W10,LONDON,"North Kensington district: North Kensington, Kensal Town, Ladbroke Grove (north), Queen's Park (part)","Brent, Hammersmith and Fulham, Kensington and Chelsea, Westminster"
22,W11,LONDON,"Notting Hill district: Notting Hill, Ladbroke Grove (south), Holland Park (part)","Hammersmith and Fulham, Kensington and Chelsea, Westminster"
23,W12,LONDON,"Shepherds Bush district: Shepherds Bush, White City, Wormwood Scrubs, East Acton (east)",Hammersmith and Fulham
24,W13,LONDON,"West Ealing district: West Ealing, Northfields (north and west)",Ealing
25,W14,LONDON,"West Kensington district: West Kensington, Kensington Olympia, Holland Park","Hammersmith and Fulham, Kensington and Chelsea"
