,Postcode district,Post town,Coverage,Local authority area
0,WA1,WARRINGTON,"Warrington, Town Centre, Woolston, Paddington, Orford",Warrington
1,WA2,WARRINGTON,"Warrington, , Dallam, Longford, Orford, Padgate, Winwick",Warrington
2,WA3,WARRINGTON,"Lowton, Golborne, Birchwood, Rixton with Glazebrook, Culcheth","Wigan, Warrington"
3,WA4,WARRINGTON,"Warrington, Latchford, Stockton Heath, Appleton, Grappenhall, Daresbury, Moore, Walton, Preston on the Hill","Warrington, Halton, Cheshire West and Chester"
4,WA5,WARRINGTON,"Warrington, Burtonwood, Westbrook, Penketh, Great Sankey, White Cross",Warrington
5,WA6,FRODSHAM,"Frodsham, Helsby",Cheshire West and Chester
6,WA7,RUNCORN,Runcorn,Halton
7,WA8,WIDNES,"Widnes, Cronton","Halton, Knowsley"
8,WA9,ST. HELENS,"Clock Face, Sutton, Thatto Heath",St Helens
9,WA10,ST. HELENS,"Eccleston, St. Helens, West Park",St Helens
10,WA11,ST. HELENS,"Crank, Haydock, Moss Bank, Rainford",St Helens
11,WA12,NEWTON-LE-WILLOWS,"Newton-le-Willows, Earlestown",St Helens
12,WA13,LYMM,"Lymm, Statham, Warburton","Warrington, Trafford"
13,WA14,ALTRINCHAM,"Altrincham (centre and west), Bowdon, Broadheath, Dunham Town, Timperley, Dunham Massey, Little Bollington","Trafford, Cheshire East"
14,WA15,ALTRINCHAM,"Altrincham (east), Ashley, Hale, Hale Barns, Timperley, Ringway","Trafford, Manchester, Cheshire East"
15,WA16,KNUTSFORD,"High Legh, Knutsford, Mobberley, Ollerton","Cheshire East, Cheshire West and Chester"
16,WA55,WARRINGTON,,non-geographic
17,WA88,WIDNES,,non-geographic
