,Postcode district,Post town,Coverage,Local authority area
0,WC1A,LONDON,New Oxford Street,Camden
1,WC1B,LONDON,"Bloomsbury, British Museum, Southampton Row",Camden
2,WC1E,LONDON,"University College London, SOAS",Camden
3,WC1H,LONDON,"St Pancras, UCL Institute of Education",Camden
4,WC1N,LONDON,"Russell Square, Great Ormond Street",Camden
5,WC1R,LONDON,Gray's Inn,Camden
6,WC1V,LONDON,High Holborn,"Camden, City of London"
7,WC1X,LONDON,"Kings Cross, Finsbury (west), Clerkenwell (north)","Camden, Islington"
8,WC2A,LONDON,"Lincoln's Inn Fields, Royal Courts of Justice, Chancery Lane","Camden, City of London, Westminster"
9,WC2B,LONDON,"Drury Lane, Kingsway, Aldwych","Camden, Westminster"
10,WC2E,LONDON,Covent Garden,Westminster
11,WC2H,LONDON,"Leicester Square, St. Giles","Camden, Westminster"
12,WC2N,LONDON,Charing Cross,Westminster
13,WC2R,LONDON,"Somerset House, Temple (west)",Westminster
