,postcode,area_name,Code formation,Unnamed: 3
0,AB,Aberdeen,,
1,AL,St Albans,,
2,B,Birmingham,,
3,BA,Bath,,
4,BB,Blackburn,,
5,BD,Bradford,,
6,BH,Bournemouth,,
7,BL,Bolton,,
8,BN,Brighton,,
9,BR,Bromley,,
10,BS,Bristol,,
11,BT,Belfast,,
12,CA,Carlisle,,
13,CB,Cambridge,,
14,CF,Cardiff,,
15,CH,Chester,,
16,CM,Chelmsford,,
17,CO,Colchester,,
18,CR,Croydon,,
19,CT,Canterbury,,
20,CV,Coventry,,
21,CW,Crewe,,
22,DA,Dartford,,
23,DD,Dundee,,
24,DE,Derby,,
25,DG,Dumfries[1],Dumfries and Galloway,
26,DH,Durham,,
27,DL,Darlington,,
28,DN,Doncaster,,
29,DT,Dorchester,,
30,DY,Dudley,,
31,E,East London,,
32,EC,East Central London,,
33,EH,Edinburgh,,
34,EN,Enfield,,
35,EX,Exeter,,
36,FK,Falkirk,,
37,FY,Blackpool[1],The Fylde,
38,G,Glasgow,,
39,GL,Gloucester,,
40,GU,Guildford,,
41,HA,Harrow,,
42,HD,Huddersfield,,
43,HG,Harrogate,,
44,HP,Hemel Hempstead,,
45,HR,Hereford,,
46,HS,Hebrides,,
47,HU,Hull,,
48,HX,Halifax,,
49,IG,Ilford,Possibly Ilford and Barking,
50,IP,Ipswich,,
51,IV,Inverness,,
52,KA,Kilmarnock,Possibly Kilmarnock and Ayr or Kilmarnock,
53,KT,Kingston upon Thames,,
54,KW,Kirkwall,,
55,KY,Kirkcaldy,,
56,L,Liverpool,,
57,LA,Lancaster,,
58,LD,Llandrindod Wells[1],,
59,LE,Leicester,,
60,LL,Llandudno,,
61,LN,Lincoln,,
62,LS,Leeds,,
63,LU,Luton,,
64,M,Manchester,,
65,ME,Medway,,
66,MK,Milton Keynes,,
67,ML,Motherwell,,
68,N,North London,,
69,NE,Newcastle upon Tyne[4][5],,
70,NG,Nottingham,,
71,NN,Northampton,,
72,NP,Newport,,
73,NR,Norwich,,
74,NW,North West London,,
75,OL,Oldham,,
76,OX,Oxford,,
77,PA,Paisley,,
78,PE,Peterborough,,
79,PH,Perth,,
80,PL,Plymouth,,
81,PO,Portsmouth,,
82,PR,Preston,,
83,RG,Reading,,
84,RH,Redhill,,
85,RM,Romford,,
86,S,Sheffield,,
87,SA,Swansea,,
88,SE,South East London,,
89,SG,Stevenage,,
90,SK,Stockport,,
91,SL,Slough,,
92,SM,Sutton[1],"Possibly Sutton and Morden, the two post towns that are within the SM area [6]",
93,SN,Swindon,,
94,SO,Southampton,,
95,SP,Salisbury,Salisbury Plain,
96,SR,Sunderland,,
97,SS,Southend-on-Sea,,
98,ST,Stoke-on-Trent,,
99,SW,South West London,,
100,SY,Shrewsbury,,
101,TA,Taunton,,
102,TD,Tweeddale,,
103,TF,Telford,,
104,TN,Tunbridge Wells[1],,
105,TQ,Torquay,,
106,TR,Truro,,
107,TS,Teesside,,
108,TW,Twickenham,,
109,UB,Southall[1],Uxbridge,
110,W,West London,,
111,WA,Warrington,,
112,WC,Western Central London,,
113,WD,Watford,,
114,WF,Wakefield,,
115,WN,Wigan,,
116,WR,Worcester,,
117,WS,Walsall,,
118,WV,Wolverhampton,,
119,YO,York,,
120,ZE,Lerwick[1],Zetland,
